Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Jalen Brunson (11492128) (LOCKED),Jalen Brunson,11492128,PG/G/UTIL,3300,In Progress,DAL,8.38
PG,Ryan Arcidiacono (11492131) (LOCKED),Ryan Arcidiacono,11492131,PG/G/UTIL,3300,In Progress,CHI,20.38
SF/PF,Dante Cunningham (11492151),Dante Cunningham,11492151,SF/PF/F/UTIL,3200,SA@LAL 10/22/2018 10:30PM ET,SA,4.88
C,Ivica Zubac (11492196),Ivica Zubac,11492196,C/UTIL,3200,SA@LAL 10/22/2018 10:30PM ET,LAL,0
SG,Sviatoslav Mykhailiuk (11492205),Sviatoslav Mykhailiuk,11492205,SG/G/UTIL,3200,SA@LAL 10/22/2018 10:30PM ET,LAL,0
SG,Damyean Dotson (11492148) (LOCKED),Damyean Dotson,11492148,SG/G/UTIL,3200,In Progress,NY,20.5
SG/SF,Courtney Lee (11492155) (LOCKED),Courtney Lee,11492155,SG/SF/F/G/UTIL,3200,In Progress,NY,0
PG/SG,Ron Baker (11492160) (LOCKED),Ron Baker,11492160,PG/SG/G/UTIL,3200,In Progress,NY,7.17
SG/SF,Tony Snell (11492164) (LOCKED),Tony Snell,11492164,SG/SF/F/G/UTIL,3200,In Progress,MIL,9.5
SF/PF,Anthony Tolliver (11492198) (LOCKED),Anthony Tolliver,11492198,SF/PF/F/UTIL,3200,In Progress,MIN,10.75
C,Thomas Bryant (11492169),Thomas Bryant,11492169,C/UTIL,3200,WAS@POR 10/22/2018 10:00PM ET,WAS,0
PF,Caleb Swanigan (11492171),Caleb Swanigan,11492171,PF/F/UTIL,3200,WAS@POR 10/22/2018 10:00PM ET,POR,0
PF/C,Richaun Holmes (11492174),Richaun Holmes,11492174,PF/C/F/UTIL,3200,PHO@GS 10/22/2018 10:30PM ET,PHO,3.75
PG,Quinn Cook (11492178),Quinn Cook,11492178,PG/G/UTIL,3200,PHO@GS 10/22/2018 10:30PM ET,GS,1.92
PG,Elie Okobo (11492202),Elie Okobo,11492202,PG/G/UTIL,3200,PHO@GS 10/22/2018 10:30PM ET,PHO,1.5
PF,Khem Birch (11492181) (LOCKED),Khem Birch,11492181,PF/F/UTIL,3200,In Progress,ORL,1.25
SF/PF,Omri Casspi (11492184),Omri Casspi,11492184,SF/PF/F/UTIL,3200,MEM@UTA 10/22/2018 09:00PM ET,MEM,19
PF,Ivan Rabb (11492188),Ivan Rabb,11492188,PF/F/UTIL,3200,MEM@UTA 10/22/2018 09:00PM ET,MEM,0
SG,Grayson Allen (11492191),Grayson Allen,11492191,SG/G/UTIL,3200,MEM@UTA 10/22/2018 09:00PM ET,UTA,0
C,Salah Mejri (11492194) (LOCKED),Salah Mejri,11492194,C/UTIL,3200,In Progress,DAL,0
C,Mitchell Robinson (11492211) (LOCKED),Mitchell Robinson,11492211,C/UTIL,3100,In Progress,NY,2.75
PG/SG,Matthew Dellavedova (11492234) (LOCKED),Matthew Dellavedova,11492234,PG/SG/G/UTIL,3100,In Progress,MIL,1.25
SG,Josh Okogie (11492208) (LOCKED),Josh Okogie,11492208,SG/G/UTIL,3100,In Progress,MIN,16.25
PG/SG,Tomas Satoransky (11492213),Tomas Satoransky,11492213,PG/SG/G/UTIL,3100,WAS@POR 10/22/2018 10:00PM ET,WAS,12
PF/C,Jason Smith (11492217),Jason Smith,11492217,PF/C/F/UTIL,3100,WAS@POR 10/22/2018 10:00PM ET,WAS,11.12
SG,Troy Daniels (11492221),Troy Daniels,11492221,SG/G/UTIL,3100,PHO@GS 10/22/2018 10:30PM ET,PHO,1.25
PG,Walt Lemon Jr. (11492224) (LOCKED),Walt Lemon Jr.,11492224,PG/G/UTIL,3100,In Progress,BOS,0
C,Robert Williams (11492227) (LOCKED),Robert Williams,11492227,C/UTIL,3100,In Progress,BOS,0
C,Ekpe Udoh (11492229),Ekpe Udoh,11492229,C/UTIL,3100,MEM@UTA 10/22/2018 09:00PM ET,UTA,2.75
SF,Kostas Antetokounmpo (11492231) (LOCKED),Kostas Antetokounmpo,11492231,SF/F/UTIL,3100,In Progress,DAL,0
SF,Quincy Pondexter (11492238),Quincy Pondexter,11492238,SF/F/UTIL,3000,SA@LAL 10/22/2018 10:30PM ET,SA,4.5
C,Drew Eubanks (11492241),Drew Eubanks,11492241,C/UTIL,3000,SA@LAL 10/22/2018 10:30PM ET,SA,2
PF,Chimezie Metu (11492243),Chimezie Metu,11492243,PF/F/UTIL,3000,SA@LAL 10/22/2018 10:30PM ET,SA,6.5
PG,Dejounte Murray (11492246),Dejounte Murray,11492246,PG/G/UTIL,3000,SA@LAL 10/22/2018 10:30PM ET,SA,0
SG,Lonnie Walker IV (11492249),Lonnie Walker IV,11492249,SG/G/UTIL,3000,SA@LAL 10/22/2018 10:30PM ET,SA,0
C,Moritz Wagner (11492252),Moritz Wagner,11492252,C/UTIL,3000,SA@LAL 10/22/2018 10:30PM ET,LAL,0
SG,Alex Caruso (11492254),Alex Caruso,11492254,SG/G/UTIL,3000,SA@LAL 10/22/2018 10:30PM ET,LAL,0
C,Isaac Bonga (11492257),Isaac Bonga,11492257,C/UTIL,3000,SA@LAL 10/22/2018 10:30PM ET,LAL,0
PF,Johnathan Williams (11492259),Johnathan Williams,11492259,PF/F/UTIL,3000,SA@LAL 10/22/2018 10:30PM ET,LAL,0
PF,Luke Kornet (11492262) (LOCKED),Luke Kornet,11492262,PF/F/UTIL,3000,In Progress,NY,0
PF,Isaiah Hicks (11492265) (LOCKED),Isaiah Hicks,11492265,PF/F/UTIL,3000,In Progress,NY,0
PF/C,Kristaps Porzingis (11492268) (LOCKED),Kristaps Porzingis,11492268,PF/C/F/UTIL,3000,In Progress,NY,0
SG/SF,Pat Connaughton (11492272) (LOCKED),Pat Connaughton,11492272,SG/SF/F/G/UTIL,3000,In Progress,MIL,1.5
