Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,Danny Green (11532607),Danny Green,11532607,SG/SF/F/G/UTIL,4700,TOR@MIL 10/29/2018 08:00PM ET,TOR,25.21
SG/SF,Joe Harris (11532612),Joe Harris,11532612,SG/SF/F/G/UTIL,4700,BKN@NY 10/29/2018 07:30PM ET,BKN,22.96
PF/C,Dewayne Dedmon (11532617),Dewayne Dedmon,11532617,PF/C/F/UTIL,4700,ATL@PHI 10/29/2018 07:00PM ET,ATL,28
PG/SG,Malcolm Brogdon (11532628),Malcolm Brogdon,11532628,PG/SG/G/UTIL,4600,TOR@MIL 10/29/2018 08:00PM ET,MIL,24
SF/PF,Thaddeus Young (11532621),Thaddeus Young,11532621,SF/PF/F/UTIL,4600,POR@IND 10/29/2018 07:00PM ET,IND,19.67
SF/PF,Al-Farouq Aminu (11532632),Al-Farouq Aminu,11532632,SF/PF/F/UTIL,4500,POR@IND 10/29/2018 07:00PM ET,POR,21.8
PG,Darren Collison (11532636),Darren Collison,11532636,PG/G/UTIL,4500,POR@IND 10/29/2018 07:00PM ET,IND,19.21
PG,Monte Morris (11532639),Monte Morris,11532639,PG/G/UTIL,4500,NO@DEN 10/29/2018 09:00PM ET,DEN,21.8
PF/C,Dirk Nowitzki (11532642),Dirk Nowitzki,11532642,PF/C/F/UTIL,4500,DAL@SA 10/29/2018 08:30PM ET,DAL,0
PF,Taj Gibson (11532657),Taj Gibson,11532657,PF/F/UTIL,4400,LAL@MIN 10/29/2018 08:00PM ET,MIN,24.54
PG/SG,Bryn Forbes (11532646),Bryn Forbes,11532646,PG/SG/G/UTIL,4400,DAL@SA 10/29/2018 08:30PM ET,SA,23.75
PG/SG,Fred VanVleet (11532650),Fred VanVleet,11532650,PG/SG/G/UTIL,4300,TOR@MIL 10/29/2018 08:00PM ET,TOR,23.5
PG,Cory Joseph (11532654),Cory Joseph,11532654,PG/G/UTIL,4300,POR@IND 10/29/2018 07:00PM ET,IND,22.75
