Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1254430531,jeffylube,0,339.5,C Wendell Carter Jr. PG Victor Oladipo SF Nicolas Batum UTIL Nikola Jokic SG Josh Richardson F Justise Winslow G Trae Young PF Omari Spellman,,Justise Winslow,PF,73.40%,47.5
2,1254629747,blocks07,0,329,SG Zach LaVine C Wendell Carter Jr. PG Victor Oladipo G Darren Collison SF Nicolas Batum F Josh Richardson PF Justise Winslow UTIL Trae Young,,Tyler Johnson,SG,64.64%,28
3,1254949108,PurpleReign90,9.73,325.25,C Wendell Carter Jr. SG Victor Oladipo G Jamal Murray PF Trey Lyles UTIL JaVale McGee SF Justise Winslow PG Trae Young F Nikola Mirotic,,Wendell Carter Jr.,C,57.05%,43.75
3,1255343491,purplejesusjuice3,9.73,325.25,C Wendell Carter Jr. SG Victor Oladipo G Jamal Murray PF Trey Lyles UTIL JaVale McGee SF Justise Winslow PG Trae Young F Nikola Mirotic,,JaVale McGee,C,40.71%,31.25
5,1254415550,avengersrule,0,325,C Wendell Carter Jr. UTIL Victor Oladipo PG Kemba Walker SF Justise Winslow SG Tyler Johnson G Trae Young F DeMar DeRozan PF Dante Cunningham,,Victor Oladipo,PG,31.76%,50.5
6,1255462612,dannyoms,9.73,324.25,C Clint Capela UTIL Wendell Carter Jr. PG Victor Oladipo F Al-Farouq Aminu SG Josh Richardson SF Justise Winslow G Tyler Johnson PF LaMarcus Aldridge,,DeMar DeRozan,G,27.35%,34.75
7,1255300044,attajiki,9.73,321.25,C Wendell Carter Jr. G Victor Oladipo PF Jayson Tatum SG Jamal Murray UTIL JaVale McGee SF Rodney McGruder F Justise Winslow PG Trae Young,,Kemba Walker,PG,25.54%,30.75
7,1255329005,LILBONEST,9.73,321.25,PG Zach LaVine C Wendell Carter Jr. UTIL Tristan Thompson F Al-Farouq Aminu SG Josh Richardson SF Justise Winslow G Trae Young PF LaMarcus Aldridge,,Justin Holiday,SF,24.98%,23
9,1255248492,Bluecrew07,9.73,320.75,SG Zach LaVine C Wendell Carter Jr. UTIL Victor Oladipo PF Al-Farouq Aminu F Josh Richardson SF Justise Winslow PG Tyler Johnson G Jrue Holiday,,Zach LaVine,G,24.43%,33
10,1255321956,FLJ5,0,319,UTIL Wendell Carter Jr. SG Victor Oladipo C Nikola Jokic F Paul Millsap PG Dwyane Wade SF Justise Winslow G Tyler Johnson PF LaMarcus Aldridge,,Josh Richardson,F,23.00%,46.25
10,1255331410,okcmo2003,0,319,C Wendell Carter Jr. PG Victor Oladipo UTIL Nikola Jokic F Paul Millsap SG Dwyane Wade SF Justise Winslow G Tyler Johnson PF LaMarcus Aldridge,,Rudy Gay,F,19.27%,14
12,1255424456,lakersgm24,9.73,316.5,C Wendell Carter Jr. G Victor Oladipo SG Jamal Murray UTIL Evan Turner SF Josh Richardson PF Justise Winslow PG Trae Young F Julius Randle,,Jrue Holiday,PG,18.02%,44.5
12,1254748122,SportsWiseGuy,0,316.5,SG Zach LaVine C Wendell Carter Jr. F Justin Holiday UTIL Victor Oladipo SF Josh Richardson PF Justise Winslow G Tyler Johnson PG Jrue Holiday,,Damian Lillard,PG,17.03%,32.5
14,1254345622,Jordanloyst18,0,315.75,UTIL James Harden SG Zach LaVine C Wendell Carter Jr. SF Josh Richardson F Justise Winslow PG Tyler Johnson G Trae Young PF Omari Spellman,,James Harden,G,16.47%,43.25
14,1255269058,matt972,0,315.75,G James Harden UTIL Zach LaVine C Wendell Carter Jr. SF Josh Richardson PF Justise Winslow SG Tyler Johnson PG Trae Young F Omari Spellman,,Clint Capela,C,16.41%,34
16,1254528007,madoublet98,0,315.5,G Zach LaVine C Wendell Carter Jr. PG Victor Oladipo SF Cedi Osman F Josh Richardson PF Justise Winslow SG Tyler Johnson UTIL Jrue Holiday,,Al-Farouq Aminu,F,15.66%,27.25
17,1255248452,uggy110111,0,314,SG Zach LaVine UTIL Wendell Carter Jr. G Victor Oladipo C Nikola Jokic SF Josh Richardson PF Justise Winslow PG Tyler Johnson F DeAndre' Bembry,,Jabari Parker,PF,13.74%,17.75
18,1255109388,dkinder86,0,312.75,UTIL P.J. Tucker G Zach LaVine C Wendell Carter Jr. PG Victor Oladipo F Josh Richardson SF Justise Winslow SG Tyler Johnson PF LaMarcus Aldridge,,Jusuf Nurkic,C,13.30%,21.25
19,1254717963,FlyntCoal,0,312.5,G Zach LaVine C Wendell Carter Jr. PG Victor Oladipo PF Jae Crowder UTIL Nikola Jokic SF Justise Winslow SG Tyler Johnson F Taurean Prince,,Nikola Jokic,UTIL,12.68%,45
19,1254735663,cglenn91,0,312.5,G Zach LaVine C Wendell Carter Jr. PG Victor Oladipo F Jae Crowder UTIL Nikola Jokic PF Justise Winslow SG Tyler Johnson SF Taurean Prince,,Omari Spellman,F,11.87%,18
19,1254772692,Cubbiesftw23,0,312.5,G Zach LaVine C Wendell Carter Jr. PG Victor Oladipo PF Jae Crowder UTIL Nikola Jokic SF Justise Winslow SG Tyler Johnson F Taurean Prince,,Lonzo Ball,UTIL,11.75%,10.75
19,1255245396,jaymelo_21,0,312.5,SG Zach LaVine C Wendell Carter Jr. PG Victor Oladipo F Domantas Sabonis G Josh Richardson UTIL Tyler Johnson PF LaMarcus Aldridge SF Dante Cunningham,,LeBron James,PF,11.00%,30.25
23,1255593010,jutter02,0,312,UTIL Clint Capela SF P.J. Tucker C Wendell Carter Jr. SG Victor Oladipo PF Justise Winslow PG Tyler Johnson F LaMarcus Aldridge G Jrue Holiday,,Jayson Tatum,SF,10.50%,30.5
24,1255266819,trap4,0,311.25,PF Jabari Parker C Wendell Carter Jr. PG Victor Oladipo SG Nicolas Batum UTIL Nikola Jokic F Josh Richardson SF Justise Winslow G Tyler Johnson,,Nicolas Batum,SF,10.25%,32.5
25,1254641095,kansasbassin,9.73,311,G Victor Oladipo C Nikola Jokic UTIL JaVale McGee SF Josh Richardson PF Justise Winslow PG Tyler Johnson F Omari Spellman SG Jrue Holiday,,Dwyane Wade,G,10.07%,29.5
25,1254699690,Clipp312s,9.73,311,C Wendell Carter Jr. UTIL Victor Oladipo G Damian Lillard F Josh Richardson SF Justise Winslow SG Tyler Johnson PF Omari Spellman PG Jrue Holiday,,Evan Turner,SG,9.94%,18.25
27,1254407354,River_Rat,9.73,310.25,UTIL Clint Capela G Victor Oladipo C JaVale McGee SF Josh Richardson PF Justise Winslow SG Tyler Johnson PG Trae Young F Kent Bazemore,,Antonio Blakeney,G,9.82%,6
