Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Rodions Kurucs (11506757) (LOCKED),Rodions Kurucs,11506757,SF/PF/F/UTIL,3000,BKN@CLE 10/24/2018 07:00PM ET,BKN,14
PF/C,Channing Frye (11506761) (LOCKED),Channing Frye,11506761,PF/C/F/UTIL,3000,BKN@CLE 10/24/2018 07:00PM ET,CLE,0
SG/SF,John Holland (11506765) (LOCKED),John Holland,11506765,SG/SF/F/G/UTIL,3000,BKN@CLE 10/24/2018 07:00PM ET,CLE,0
PF,Billy Preston (11506770) (LOCKED),Billy Preston,11506770,PF/F/UTIL,3000,BKN@CLE 10/24/2018 07:00PM ET,CLE,0
SG/SF,Furkan Korkmaz (11506773),Furkan Korkmaz,11506773,SG/SF/F/G/UTIL,3000,PHI@MIL 10/24/2018 09:30PM ET,PHI,1.5
PG/SG,Shake Milton (11506778),Shake Milton,11506778,PG/SG/G/UTIL,3000,PHI@MIL 10/24/2018 09:30PM ET,PHI,0
SG/SF,Zhaire Smith (11506782),Zhaire Smith,11506782,SG/SF/F/G/UTIL,3000,PHI@MIL 10/24/2018 09:30PM ET,PHI,0
PG/SG,Jerryd Bayless (11506787),Jerryd Bayless,11506787,PG/SG/G/UTIL,3000,PHI@MIL 10/24/2018 09:30PM ET,PHI,0
PG,Demetrius Jackson (11506791),Demetrius Jackson,11506791,PG/G/UTIL,3000,PHI@MIL 10/24/2018 09:30PM ET,PHI,0
PF,Jonah Bolden (11506794),Jonah Bolden,11506794,PF/F/UTIL,3000,PHI@MIL 10/24/2018 09:30PM ET,PHI,0
SG,Jodie Meeks (11506797),Jodie Meeks,11506797,SG/G/UTIL,3000,PHI@MIL 10/24/2018 09:30PM ET,MIL,0
SG/SF,Pat Connaughton (11506800),Pat Connaughton,11506800,SG/SF/F/G/UTIL,3000,PHI@MIL 10/24/2018 09:30PM ET,MIL,1.5
SG/SF,Sterling Brown (11506805),Sterling Brown,11506805,SG/SF/F/G/UTIL,3000,PHI@MIL 10/24/2018 09:30PM ET,MIL,2
PF,D.J. Wilson (11506810),D.J. Wilson,11506810,PF/F/UTIL,3000,PHI@MIL 10/24/2018 09:30PM ET,MIL,0
PF/C,Christian Wood (11506813),Christian Wood,11506813,PF/C/F/UTIL,3000,PHI@MIL 10/24/2018 09:30PM ET,MIL,3.25
SG,Jaylen Morris (11506817),Jaylen Morris,11506817,SG/G/UTIL,3000,PHI@MIL 10/24/2018 09:30PM ET,MIL,0
PG,Trevon Duval (11506820),Trevon Duval,11506820,PG/G/UTIL,3000,PHI@MIL 10/24/2018 09:30PM ET,MIL,0
PG/SG,Jordan McRae (11506823),Jordan McRae,11506823,PG/SG/G/UTIL,3000,WAS@GS 10/24/2018 10:30PM ET,WAS,0
SG,Devin Robinson (11506827),Devin Robinson,11506827,SG/G/UTIL,3000,WAS@GS 10/24/2018 10:30PM ET,WAS,0
