Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1249219824,treydot01,0,339.5,G Russell Westbrook C Joel Embiid PG Kyrie Irving SG Buddy Hield SF Robert Covington PF Jerami Grant UTIL Collin Sexton F Pascal Siakam,,Kemba Walker,PG,78.63%,37.5
1,1249264722,Meekmoo,0,339.5,PG Russell Westbrook C Joel Embiid G Kyrie Irving SG Buddy Hield SF Robert Covington F Jerami Grant UTIL Collin Sexton PF Pascal Siakam,,Pascal Siakam,F,74.32%,42.75
3,1249590594,MRZEROVB,0,331,PG Russell Westbrook C Nikola Vucevic UTIL Marc Gasol SF Nemanja Bjelica SG Buddy Hield PF Jerami Grant G Collin Sexton F Pascal Siakam,,Carmelo Anthony,PF,57.74%,18.5
4,1249246168,bquicksix,0,325,G Russell Westbrook C Andre Drummond SG Bradley Beal SF Cedi Osman F Buddy Hield UTIL Otto Porter Jr. PG Collin Sexton PF Pascal Siakam,,Buddy Hield,SF,54.40%,46.25
5,1249007170,jonathansullivan2,0,324.5,PG Russell Westbrook F Aaron Gordon SG Bradley Beal C Jusuf Nurkic SF Buddy Hield PF Carmelo Anthony G Nicolas Batum UTIL Pascal Siakam,,Bradley Beal,SG,49.18%,41.25
6,1249292636,Whitefox33,0,319.75,C Joel Embiid PG Kyrie Irving SF Aaron Gordon G Bradley Beal UTIL Carmelo Anthony SG Nicolas Batum F Serge Ibaka PF Pascal Siakam,,Gerald Green,G,35.35%,11.5
6,1249503004,Not2Good,0,319.75,C Joel Embiid UTIL Hassan Whiteside SF Aaron Gordon G Bradley Beal F Kent Bazemore SG Buddy Hield PG Collin Sexton PF Pascal Siakam,,Chris Paul,G,27.51%,40.75
8,1249569015,mforo60,0,318.75,C Joel Embiid PG Kemba Walker SG Bradley Beal UTIL Jusuf Nurkic F Nemanja Bjelica G Buddy Hield PF Pascal Siakam SF Evan Turner,,Joel Embiid,UTIL,24.23%,54.75
9,1249311489,xomar80x,0,318.5,C Joel Embiid G John Wall PG Kyrie Irving UTIL Aaron Gordon F Buddy Hield SG Nicolas Batum PF Pascal Siakam SF Miles Bridges,,Larry Nance Jr.,F,23.84%,14.75
10,1249512410,ebeimfohr,0,318.25,PG Kemba Walker C Hassan Whiteside SF Aaron Gordon G Bradley Beal UTIL Jusuf Nurkic SG Buddy Hield F Otto Porter Jr. PF Pascal Siakam,,Willie Cauley-Stein,C,23.07%,32.25
11,1249185751,droppingelbows,0,316.5,PG Kemba Walker PF Blake Griffin SG Bradley Beal C Willie Cauley-Stein SF Cedi Osman G Buddy Hield UTIL Serge Ibaka F Pascal Siakam,,Kent Bazemore,SF,21.37%,22.25
12,1249003953,maw121,0,316,UTIL Nikola Vucevic PG Kyrie Irving PF Aaron Gordon SG Bradley Beal C Jusuf Nurkic F Buddy Hield SF Carmelo Anthony G Collin Sexton,,Russell Westbrook,G,19.54%,57.5
12,1249117682,vaughan22,0,316,UTIL Nikola Vucevic G Kyrie Irving PF Aaron Gordon SG Bradley Beal C Jusuf Nurkic F Buddy Hield SF Carmelo Anthony PG Collin Sexton,,Jaren Jackson Jr.,F,19.15%,8.25
12,1249146614,benrichardson,0,316,UTIL Nikola Vucevic PG Kyrie Irving PF Aaron Gordon SG Bradley Beal C Jusuf Nurkic F Buddy Hield SF Carmelo Anthony G Collin Sexton,,Nemanja Bjelica,UTIL,15.43%,39
12,1249159156,bruns747,0,316,UTIL Nikola Vucevic PG Kyrie Irving PF Aaron Gordon SG Bradley Beal C Jusuf Nurkic F Buddy Hield SF Carmelo Anthony G Collin Sexton,,Evan Fournier,G,15.43%,15.5
12,1249192652,benjismith10,0,316,UTIL Nikola Vucevic PG Kyrie Irving PF Aaron Gordon SG Bradley Beal C Jusuf Nurkic F Buddy Hield SF Carmelo Anthony G Collin Sexton,,Jeff Green,PF,13.68%,12.75
12,1249231803,Rocco232323,0,316,C Nikola Vucevic PG Kyrie Irving PF Aaron Gordon SG Bradley Beal UTIL Jusuf Nurkic F Buddy Hield SF Carmelo Anthony G Collin Sexton,,Aaron Gordon,PF,13.64%,44.5
12,1249250278,bellbern,0,316,UTIL Nikola Vucevic PG Kyrie Irving PF Aaron Gordon SG Bradley Beal C Jusuf Nurkic F Buddy Hield SF Carmelo Anthony G Collin Sexton,,Eric Gordon,SF,13.06%,22
12,1249276659,Thrower1024,0,316,UTIL Nikola Vucevic PG Kyrie Irving PF Aaron Gordon SG Bradley Beal C Jusuf Nurkic F Buddy Hield SF Carmelo Anthony G Collin Sexton,,Evan Turner,SF,12.04%,17.25
12,1249364080,kylerobson28,0,316,UTIL Nikola Vucevic PG Kyrie Irving PF Aaron Gordon SG Bradley Beal C Jusuf Nurkic F Buddy Hield SF Carmelo Anthony G Collin Sexton,,Nikola Vucevic,C,11.90%,45.25
12,1249480903,bric75,0,316,UTIL Russell Westbrook C Joel Embiid SG Bradley Beal G Buddy Hield SF Carmelo Anthony F Jerami Grant PG Collin Sexton PF Pascal Siakam,,Clint Capela,C,9.33%,38.5
12,1249535863,1alejandro0,0,316,C Nikola Vucevic PG Kyrie Irving PF Aaron Gordon SG Bradley Beal UTIL Jusuf Nurkic F Buddy Hield SF Carmelo Anthony G Collin Sexton,,John Wall,UTIL,9.28%,41.5
12,1249557153,arabia613,0,316,UTIL Nikola Vucevic PG Kyrie Irving PF Aaron Gordon SG Bradley Beal C Jusuf Nurkic F Buddy Hield SF Carmelo Anthony G Collin Sexton,,Kawhi Leonard,SG,9.04%,54.75
12,1249572204,matt972,0,316,PG Russell Westbrook PF Aaron Gordon G Bradley Beal SF Evan Fournier F Cedi Osman SG Buddy Hield C Serge Ibaka UTIL Pascal Siakam,,Nicolas Batum,SG,8.46%,33.75
12,1249625203,dvphenom,0,316,UTIL Nikola Vucevic PG Kyrie Irving PF Aaron Gordon SG Bradley Beal C Jusuf Nurkic F Buddy Hield SF Carmelo Anthony G Collin Sexton,,Serge Ibaka,C,8.37%,36.5
12,1249633184,rjeff88,0,316,UTIL Nikola Vucevic PG Kyrie Irving PF Aaron Gordon SG Bradley Beal C Jusuf Nurkic F Buddy Hield SF Carmelo Anthony G Collin Sexton,,Collin Sexton,G,7.21%,32.5
12,1249642612,tategeraets24,0,316,PG Russell Westbrook C Marc Gasol SF Aaron Gordon SG Bradley Beal F Carmelo Anthony G Nicolas Batum UTIL Collin Sexton PF Pascal Siakam,,Marc Gasol,C,6.87%,45.25
28,1249505899,pgreg2128,0,315.5,PG Russell Westbrook C Joel Embiid SF Aaron Gordon UTIL Willie Cauley-Stein SG Buddy Hield PF Pascal Siakam F Justin Jackson G Shelvin Mack,,Kyle Lowry,UTIL,6.67%,44.25
29,1249194165,truck1223,0,314.75,C Andre Drummond PG John Wall SF Aaron Gordon SG Bradley Beal UTIL Jusuf Nurkic G Buddy Hield PF Jerami Grant F Sam Dekker,,Miles Bridges,SF,6.48%,7.25
30,1249527319,joedog25,0,314,UTIL Russell Westbrook SG Kawhi Leonard PG Kemba Walker PF Nemanja Bjelica C Alex Len G Collin Sexton F Pascal Siakam SF Miles Bridges,,CJ McCollum,SG,5.51%,30
31,1249196108,GreenytheTerp,0,313.5,G Russell Westbrook C Joel Embiid PG Kemba Walker SG Buddy Hield SF Jerami Grant UTIL Markelle Fultz PF Pascal Siakam F Sam Dekker,,Jerami Grant,UTIL,5.32%,22.5
