Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1234882375,ducklindog,27.21,214.5,PG Kemba Walker F Jayson Tatum UTIL Kyrie Irving G Kris Dunn PF Al Horford SF Jaylen Brown SG Nicolas Batum C Cody Zeller,,Luka Doncic,PG,63.35%,22
2,1234587111,Vandy10,109.18,207,C Nikola Vucevic G Kyle Lowry F Khris Middleton UTIL Bobby Portis SF Joe Ingles PG Jeff Teague SG Fred VanVleet PF Kyle O'Quinn,,Jimmy Butler,SF,48.67%,21.75
3,1234716385,troyhobeck,128.74,205.5,SF Jimmy Butler UTIL Kemba Walker C Nikola Vucevic G Trey Burke PG LOCKED F Evan Fournier PF Dwight Powell SG Wesley Matthews,,Jaren Jackson Jr.,F,39.42%,10.5
4,1235034529,Raf22,146.14,182.25,SG Kawhi Leonard G Kyrie Irving UTIL Luka Doncic F Al Horford PG LOCKED C Serge Ibaka SF LOCKED PF Jabari Parker,,Kawhi Leonard,SF,36.81%,38.25
5,1234686769,theluckyone123,99.94,177.75,PG Kyle Lowry SF Jayson Tatum SG LOCKED C Enes Kanter UTIL Al Horford F Serge Ibaka PF Marcus Morris G Garrett Temple,,Wendell Carter Jr.,UTIL,22.62%,13.25
6,1235408643,bg12,149.01,176.75,SG Kawhi Leonard G Kemba Walker C Enes Kanter PG Luka Doncic SF LOCKED UTIL Jaren Jackson Jr. F Jabari Parker PF Michael Kidd-Gilchrist,,Enes Kanter,C,17.89%,28
7,1235160700,mattieice8789,97.93001,176.5,SG Kawhi Leonard UTIL Kemba Walker PF Aaron Gordon F LOCKED G Tim Hardaway Jr. PG Cory Joseph SF Michael Kidd-Gilchrist C John Henson,,Wesley Matthews,G,17.51%,17.75
8,1234885383,markyjr78,101.07,176.25,SG Kawhi Leonard SF Jimmy Butler F LOCKED PF Al Horford C Serge Ibaka G Nicolas Batum UTIL Taj Gibson PG Derrick Rose,,Bobby Portis,C,17.29%,12.5
9,1235486259,mbelcher1,163.49,175.25,F Kawhi Leonard UTIL Victor Oladipo C Nikola Vucevic G Luka Doncic SG LOCKED SF Jabari Parker PG Danté Exum PF Mario Hezonja,,Fred VanVleet,SG,12.34%,15.5
10,1234609620,jaymefbaby,138.99,174,SF Giannis Antetokounmpo C Nikola Vucevic UTIL Zach LaVine SG Trey Burke PF Jaren Jackson Jr. G LOCKED PG Fred VanVleet F Michael Kidd-Gilchrist,,Kemba Walker,PG,9.90%,42.25
