Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
25,1242716678,lgejr,0.57,185.28,QB Ben Roethlisberger RB James Conner FLEX David Johnson RB Phillip Lindsay WR Odell Beckham Jr. WR Tyler Boyd WR Martavis Bryant TE O.J. Howard DST Bengals ,,Jalen Richard,FLEX,9.68%,14.4
26,1244075262,mystro28372,0,185,QB Mitchell Trubisky RB James Conner RB Kareem Hunt FLEX Marlon Mack WR Tyler Boyd WR John Brown WR Taylor Gabriel TE O.J. Howard DST Steelers ,,Larry Fitzgerald,WR,9.24%,29.2
27,1244548828,Jeffthou716,0,184.52,QB Patrick Mahomes FLEX James Conner RB Joe Mixon RB Kareem Hunt WR T.Y. Hilton WR Sammy Watkins WR Martavis Bryant TE O.J. Howard DST Steelers ,,Joe Mixon,RB,8.14%,31.8
28,1244264201,Alexaldaco,5.15,184.34,QB Jameis Winston FLEX James Conner RB Kareem Hunt RB Phillip Lindsay WR Davante Adams WR DeSean Jackson WR Larry Fitzgerald TE O.J. Howard DST Steelers ,,Jimmy Graham,TE,7.44%,3.1
29,1244381060,5151s,13.74,184.2,QB Jared Goff RB James Conner FLEX Kareem Hunt RB Phillip Lindsay WR Brandin Cooks WR Taylor Gabriel WR Sammy Watkins TE Jared Cook DST Rams ,,Isaiah Crowell,RB,7.26%,4.8
30,1245207738,Nathan_troy32,0.57,184.02,QB Patrick Mahomes RB James Conner RB Adrian Peterson FLEX Jalen Richard WR Odell Beckham Jr. WR Michael Crabtree WR Chris Godwin TE Travis Kelce DST 49ers ,,Raheem Mostert,RB,7.04%,1.8
31,1244951527,Yorrick,5.15,183,QB Andy Dalton RB James Conner RB Kareem Hunt FLEX Isaiah Crowell WR Robert Woods WR Tyler Boyd WR Larry Fitzgerald TE Jared Cook DST Steelers ,,Andrew Luck,QB,6.60%,23.36
32,1240208372,jmarsh65,9.16,182.64,QB Aaron Rodgers RB James Conner RB Kareem Hunt FLEX Adrian Peterson WR Davante Adams WR Golden Tate WR D.J. Moore TE O.J. Howard DST Steelers ,,Patrick Mahomes,QB,6.47%,30.02
33,1245277906,BROPHEY,0.57,182.4,QB Andy Dalton RB Joe Mixon RB Kerryon Johnson FLEX A.J. Green WR Tyler Boyd WR Doug Baldwin WR Sammy Watkins TE O.J. Howard DST 49ers ,,Geronimo Allison,WR,6.29%,2.4
34,1242654016,cwrector77,9.16,182.2,QB Jared Goff RB James Conner FLEX Kareem Hunt RB Phillip Lindsay WR Robert Woods WR Tyler Boyd WR Chris Godwin TE O.J. Howard DST Steelers ,,Taylor Gabriel,WR,5.94%,9.2
34,1242832145,ooowhatupcuuuuuuuuu,9.16,182.2,QB Jared Goff FLEX James Conner RB Kareem Hunt RB Phillip Lindsay WR Robert Woods WR Tyler Boyd WR Chris Godwin TE O.J. Howard DST Steelers ,,Travis Kelce,TE,5.90%,19.9
34,1243343824,Wolfcat2,9.16,182.2,QB Jared Goff RB James Conner RB Kareem Hunt FLEX Phillip Lindsay WR Robert Woods WR Tyler Boyd WR Chris Godwin TE O.J. Howard DST Steelers ,,David Johnson,RB,5.85%,14
37,1242479072,RaKeZ,9.73,181.94,QB Aaron Rodgers RB Saquon Barkley RB James Conner FLEX Chris Carson WR Davante Adams WR Larry Fitzgerald WR Jermaine Kearse TE O.J. Howard DST Panthers ,,Vance McDonald,TE,5.68%,7.7
38,1236380483,brycesteele30,9.16,181.4,QB Jared Goff RB James Conner RB Phillip Lindsay WR Robert Woods WR Tyler Boyd WR Michael Crabtree FLEX Travis Kelce TE O.J. Howard DST Steelers ,,Jermaine Kearse,WR,5.68%,6
39,1242921222,DFSums,9.73,181.2,QB Jared Goff RB James Conner FLEX Joe Mixon RB Kareem Hunt WR Robert Woods WR Michael Crabtree WR Larry Fitzgerald TE Vance McDonald DST Steelers ,,Saquon Barkley,RB,5.63%,20.1
39,1241473819,keithcap,14.31,181.2,QB Jared Goff RB James Conner RB Kareem Hunt FLEX Davante Adams WR Robert Woods WR Sammy Watkins WR Martavis Bryant TE O.J. Howard DST 49ers ,,Andy Dalton,QB,5.19%,20.2
41,1241178568,bhoojy,9.16,181.1,QB Jared Goff FLEX James Conner RB Marlon Mack RB Isaiah Crowell WR Antonio Brown WR Davante Adams WR Michael Crabtree TE O.J. Howard DST Steelers ,,Kenny Golladay,WR,4.75%,2.2
41,1244054569,thund23,9.16,181.1,QB Jared Goff FLEX James Conner RB Kareem Hunt RB Kerryon Johnson WR Robert Woods WR Emmanuel Sanders WR Sammy Watkins TE O.J. Howard DST Steelers ,,JuJu Smith-Schuster,WR,4.67%,7.3
43,1243313142,Kronicvi,9.16,180.84,QB Aaron Rodgers FLEX Todd Gurley II RB James Conner RB Phillip Lindsay WR Tyler Boyd WR Michael Crabtree WR Anthony Miller TE O.J. Howard DST Steelers ,,Golden Tate,WR,4.49%,12.3
44,1240870546,nateman95037,0,180.4,QB Andy Dalton RB James Conner RB Kareem Hunt FLEX Chris Carson WR A.J. Green WR Tyler Boyd WR Martavis Bryant TE O.J. Howard DST Chiefs ,,Demaryius Thomas,WR,4.40%,6
45,1236564729,jgorejr14,5.15,180.28,QB Case Keenum FLEX Todd Gurley II RB James Conner RB Kareem Hunt WR Michael Crabtree WR Jordy Nelson WR Larry Fitzgerald TE O.J. Howard DST Bengals ,,Marlon Mack,RB,4.36%,31.9
46,1241065956,Skibasher,9.73,180.24,QB Aaron Rodgers FLEX Todd Gurley II RB James Conner RB Phillip Lindsay WR T.Y. Hilton WR Sammy Watkins WR Larry Fitzgerald TE C.J. Uzomah DST Steelers ,,Chris Herndon,TE,4.27%,8.6
47,1242296708,Johnnyp135,9.73,180.14,QB Aaron Rodgers FLEX Todd Gurley II RB James Conner RB Phillip Lindsay WR Odell Beckham Jr. WR Larry Fitzgerald WR Anthony Miller TE C.J. Uzomah DST Steelers ,,Tarik Cohen,FLEX,4.23%,18
48,1238823617,BumperMan119,14.31,180.04,QB Aaron Rodgers FLEX Todd Gurley II RB James Conner RB Marlon Mack WR Robert Woods WR Christian Kirk WR Anthony Miller TE O.J. Howard DST Steelers ,,Antonio Brown,WR,3.87%,25.4
48,1243436095,dasb0609,14.31,180.04,QB Aaron Rodgers FLEX Todd Gurley II RB James Conner RB Marlon Mack WR Robert Woods WR Christian Kirk WR Anthony Miller TE O.J. Howard DST Steelers ,,Redskins ,DST,3.83%,15
48,1243729171,jrakos23,14.31,180.04,QB Aaron Rodgers FLEX Todd Gurley II RB James Conner RB Marlon Mack WR Robert Woods WR Christian Kirk WR Anthony Miller TE O.J. Howard DST Steelers ,,Odell Beckham Jr.,WR,3.79%,24.6
48,1244414782,nfl_man2016,14.31,180.04,QB Aaron Rodgers FLEX Todd Gurley II RB James Conner RB Marlon Mack WR Robert Woods WR Christian Kirk WR Anthony Miller TE O.J. Howard DST Steelers ,,Brandin Cooks,WR,2.86%,11.3
52,1244191521,Jaragorn,5.15,179.24,QB Jameis Winston RB Todd Gurley II RB James Conner FLEX Kerryon Johnson WR Tyler Boyd WR Larry Fitzgerald WR Jermaine Kearse TE Vance McDonald DST Steelers ,,Christian Kirk,WR,2.82%,13.2
53,1245283031,Grahamberg,9.73,178.9,QB Jared Goff FLEX James Conner RB Phillip Lindsay RB Raheem Mostert WR Davante Adams WR Tyler Boyd WR T.Y. Hilton TE O.J. Howard DST Redskins ,,Chris Carson,FLEX,2.82%,23.4
54,1243241317,Buckingham21,13.74,178.8,QB Jared Goff FLEX Todd Gurley II RB James Conner RB Peyton Barber WR Robert Woods WR Golden Tate WR Sammy Watkins TE Jesse James DST Steelers ,,Adrian Peterson,RB,2.73%,30.6
55,1236383629,fjdimmortal,5.72,178.46,QB Andrew Luck RB James Conner RB Kareem Hunt FLEX Jalen Richard WR Davante Adams WR Doug Baldwin WR Larry Fitzgerald TE O.J. Howard DST Cardinals ,,Jarvis Landry,FLEX,2.64%,11.9
56,1242430620,fatpandaz,0,178.22,QB Patrick Mahomes FLEX James Conner RB Marlon Mack RB Phillip Lindsay WR Tyler Boyd WR Emmanuel Sanders WR Chris Godwin TE David Njoku DST Steelers ,,Bears ,DST,2.60%,5
57,1245243748,dirtyp7,0.57,178,QB Andy Dalton RB James Conner FLEX Phillip Lindsay RB Nick Chubb WR A.J. Green WR JuJu Smith-Schuster WR Larry Fitzgerald TE O.J. Howard DST Redskins ,,Jared Cook,TE,2.55%,17.4
58,1241372053,Kool_Hand_Lou,0,177.92,QB Patrick Mahomes RB James Conner RB Kareem Hunt FLEX Tarik Cohen WR JuJu Smith-Schuster WR Tyler Boyd WR Adam Humphries TE Chris Herndon DST Steelers ,,Ben Roethlisberger,QB,2.51%,17.88
59,1240443795,rigo1515,0.57,177.76,QB Andrew Luck FLEX James Conner RB Joe Mixon RB Kareem Hunt WR T.Y. Hilton WR Taylor Gabriel WR Larry Fitzgerald TE C.J. Uzomah DST Bengals ,,Colts ,DST,2.51%,1
60,1242442076,B_Mcafee90,4.58,177.74,QB Jameis Winston RB Todd Gurley II RB James Conner FLEX Phillip Lindsay WR Tyler Boyd WR Michael Crabtree WR Anthony Miller TE O.J. Howard DST Steelers ,,Ravens ,DST,2.51%,-4
61,1239237476,joshmur11,9.73,177.44,QB Aaron Rodgers FLEX James Conner RB Kareem Hunt RB Adrian Peterson WR Davante Adams WR Doug Baldwin WR Larry Fitzgerald TE C.J. Uzomah DST Redskins ,,Ricky Seals-Jones,TE,2.33%,3.2
62,1242789904,onaRoll37,0,177.24,QB Jameis Winston RB James Conner RB Kareem Hunt FLEX Marlon Mack WR Tyler Boyd WR Emmanuel Sanders WR Chris Godwin TE O.J. Howard DST Steelers ,,Chiefs ,DST,2.29%,9
63,1242343087,spikemo7,0,177.18,QB Ben Roethlisberger RB James Conner RB Marlon Mack FLEX Adrian Peterson WR Tyler Boyd WR T.Y. Hilton WR Doug Baldwin TE David Njoku DST Redskins ,,Sammy Watkins,WR,2.11%,33.7
64,1236462159,rkoar,9.73,176.74,QB Aaron Rodgers RB James Conner RB Kareem Hunt FLEX Phillip Lindsay WR Robert Woods WR Tyler Boyd WR Larry Fitzgerald TE C.J. Uzomah DST Steelers ,,John Brown,WR,2.11%,5.8
64,1236505586,JTB21,9.73,176.74,QB Aaron Rodgers RB James Conner RB Kareem Hunt FLEX Phillip Lindsay WR Robert Woods WR Tyler Boyd WR Larry Fitzgerald TE C.J. Uzomah DST Steelers ,,Courtland Sutton,WR,2.02%,10.8
64,1236526655,sportsfanatic89,9.73,176.74,QB Aaron Rodgers RB James Conner RB Kareem Hunt FLEX Phillip Lindsay WR Robert Woods WR Tyler Boyd WR Larry Fitzgerald TE C.J. Uzomah DST Steelers ,,Mitchell Trubisky,QB,1.80%,21.9
64,1237695439,kgoosen23,9.73,176.74,QB Aaron Rodgers RB James Conner FLEX Kareem Hunt RB Phillip Lindsay WR Robert Woods WR Tyler Boyd WR Larry Fitzgerald TE C.J. Uzomah DST Steelers ,,49ers ,DST,1.80%,10
64,1237738940,bing11,9.73,176.74,QB Aaron Rodgers RB James Conner RB Kareem Hunt FLEX Phillip Lindsay WR Robert Woods WR Tyler Boyd WR Larry Fitzgerald TE C.J. Uzomah DST Steelers ,,Jets ,DST,1.67%,2
64,1239410888,JPTarHeel4Life,9.73,176.74,QB Aaron Rodgers RB James Conner RB Kareem Hunt FLEX Phillip Lindsay WR Robert Woods WR Tyler Boyd WR Larry Fitzgerald TE C.J. Uzomah DST Steelers ,,Seth Roberts,WR,1.67%,12.2
64,1239553938,dheadt77,9.73,176.74,QB Aaron Rodgers RB James Conner RB Kareem Hunt FLEX Phillip Lindsay WR Robert Woods WR Tyler Boyd WR Larry Fitzgerald TE C.J. Uzomah DST Steelers ,,Cardinals ,DST,1.63%,8
64,1240261015,jplem30317,9.73,176.74,QB Aaron Rodgers RB James Conner RB Kareem Hunt FLEX Phillip Lindsay WR Robert Woods WR Tyler Boyd WR Larry Fitzgerald TE C.J. Uzomah DST Steelers ,,Sterling Shepard,WR,1.63%,7.4
64,1241027391,cdmcnett,9.73,176.74,QB Aaron Rodgers RB James Conner RB Kareem Hunt FLEX Phillip Lindsay WR Robert Woods WR Tyler Boyd WR Larry Fitzgerald TE C.J. Uzomah DST Steelers ,,Mike Evans,WR,1.50%,32.9
64,1241287243,bearcat1487,9.73,176.74,QB Aaron Rodgers RB James Conner RB Kareem Hunt FLEX Phillip Lindsay WR Robert Woods WR Tyler Boyd WR Larry Fitzgerald TE C.J. Uzomah DST Steelers ,,Panthers ,DST,1.45%,8
64,1241470965,harby33,9.73,176.74,QB Aaron Rodgers RB James Conner RB Kareem Hunt FLEX Phillip Lindsay WR Robert Woods WR Tyler Boyd WR Larry Fitzgerald TE C.J. Uzomah DST Steelers ,,Trey Burton,TE,1.45%,4.8
64,1242217161,plazmyk,9.73,176.74,QB Aaron Rodgers RB James Conner RB Kareem Hunt FLEX Phillip Lindsay WR Robert Woods WR Tyler Boyd WR Larry Fitzgerald TE C.J. Uzomah DST Steelers ,,Case Keenum,QB,1.36%,17.38
64,1242347654,mrcpuguru,9.73,176.74,QB Aaron Rodgers RB James Conner RB Kareem Hunt FLEX Phillip Lindsay WR Robert Woods WR Tyler Boyd WR Larry Fitzgerald TE C.J. Uzomah DST Steelers ,,DeSean Jackson,WR,1.36%,16.2
64,1242619502,picket6,9.73,176.74,QB Aaron Rodgers RB James Conner RB Kareem Hunt FLEX Phillip Lindsay WR Robert Woods WR Tyler Boyd WR Larry Fitzgerald TE C.J. Uzomah DST Steelers ,,Randall Cobb,WR,1.28%,8
64,1242630041,williamv410,9.73,176.74,QB Aaron Rodgers RB James Conner RB Kareem Hunt FLEX Phillip Lindsay WR Robert Woods WR Tyler Boyd WR Larry Fitzgerald TE C.J. Uzomah DST Steelers ,,Browns ,DST,1.28%,4
64,1242679449,DoomsDay2233,9.73,176.74,QB Aaron Rodgers RB James Conner RB Kareem Hunt FLEX Phillip Lindsay WR Robert Woods WR Tyler Boyd WR Larry Fitzgerald TE C.J. Uzomah DST Steelers ,,Russell Wilson,QB,1.19%,23.42
64,1242958988,peteh400,9.73,176.74,QB Aaron Rodgers RB James Conner RB Kareem Hunt FLEX Phillip Lindsay WR Robert Woods WR Tyler Boyd WR Larry Fitzgerald TE C.J. Uzomah DST Steelers ,,Chester Rogers,FLEX,1.19%,2
64,1243828649,redspecial,9.73,176.74,QB Aaron Rodgers RB James Conner RB Kareem Hunt FLEX Phillip Lindsay WR Robert Woods WR Tyler Boyd WR Larry Fitzgerald TE C.J. Uzomah DST Steelers ,,Lions ,DST,1.10%,1
64,1244239158,Brandonbg254,9.73,176.74,QB Aaron Rodgers RB James Conner RB Kareem Hunt FLEX Phillip Lindsay WR Robert Woods WR Tyler Boyd WR Larry Fitzgerald TE C.J. Uzomah DST Steelers ,,George Kittle,TE,1.10%,10.7
64,1244288323,hmills88,9.73,176.74,QB Aaron Rodgers RB James Conner RB Kareem Hunt FLEX Phillip Lindsay WR Robert Woods WR Tyler Boyd WR Larry Fitzgerald TE C.J. Uzomah DST Steelers ,,Bengals ,DST,1.06%,19
64,1244369863,fivesolas,9.73,176.74,QB Aaron Rodgers RB James Conner RB Kareem Hunt FLEX Phillip Lindsay WR Robert Woods WR Tyler Boyd WR Larry Fitzgerald TE C.J. Uzomah DST Steelers ,,Nick Chubb,RB,1.06%,9.5
64,1244481258,captainczajka,9.73,176.74,QB Aaron Rodgers RB James Conner RB Kareem Hunt FLEX Phillip Lindsay WR Robert Woods WR Tyler Boyd WR Larry Fitzgerald TE C.J. Uzomah DST Steelers ,,Adam Humphries,WR,0.92%,14.6
64,1244570829,mikeyj12r,9.73,176.74,QB Aaron Rodgers RB James Conner RB Kareem Hunt FLEX Phillip Lindsay WR Robert Woods WR Tyler Boyd WR Larry Fitzgerald TE C.J. Uzomah DST Steelers ,,Cameron Brate,TE,0.88%,2.3
64,1244571882,stinkfinger,9.73,176.74,QB Aaron Rodgers RB James Conner RB Kareem Hunt FLEX Phillip Lindsay WR Robert Woods WR Tyler Boyd WR Larry Fitzgerald TE C.J. Uzomah DST Steelers ,,Tyler Lockett,WR,0.84%,12.7
64,1244737765,nosaldinho30,9.73,176.74,QB Aaron Rodgers RB James Conner RB Kareem Hunt FLEX Phillip Lindsay WR Robert Woods WR Tyler Boyd WR Larry Fitzgerald TE C.J. Uzomah DST Steelers ,,Willie Snead IV,WR,0.79%,10.4
64,1244810505,gottiwhite,9.73,176.74,QB Aaron Rodgers RB James Conner RB Kareem Hunt FLEX Phillip Lindsay WR Robert Woods WR Tyler Boyd WR Larry Fitzgerald TE C.J. Uzomah DST Steelers ,,Rams ,DST,0.66%,5
64,1244988445,wfalcon1219,9.73,176.74,QB Aaron Rodgers RB James Conner RB Kareem Hunt FLEX Phillip Lindsay WR Robert Woods WR Tyler Boyd WR Larry Fitzgerald TE C.J. Uzomah DST Steelers ,,Jeff Heuerman,TE,0.66%,7.4
64,1245171191,mmm1010,9.73,176.74,QB Aaron Rodgers RB James Conner RB Kareem Hunt FLEX Phillip Lindsay WR Robert Woods WR Tyler Boyd WR Larry Fitzgerald TE C.J. Uzomah DST Steelers ,,Derek Carr,QB,0.66%,27.76
64,1245172445,vsapp831,9.73,176.74,QB Aaron Rodgers RB James Conner RB Kareem Hunt FLEX Phillip Lindsay WR Robert Woods WR Tyler Boyd WR Larry Fitzgerald TE C.J. Uzomah DST Steelers ,,Eric Ebron,TE,0.66%,12.7
93,1243180146,amGonnawin,5.15,176.64,QB Jameis Winston RB Todd Gurley II RB James Conner FLEX Marlon Mack WR Emmanuel Sanders WR Larry Fitzgerald WR Martavis Bryant TE O.J. Howard DST Steelers ,,Jordan Reed,FLEX,0.57%,10.8
94,1242314410,Prana24,5.15,176.24,QB Jameis Winston RB James Conner RB Kareem Hunt FLEX Kerryon Johnson WR Robert Woods WR Tyler Boyd WR Larry Fitzgerald TE Vance McDonald DST Steelers ,,Jordan Howard,FLEX,0.57%,14.1
95,1239531182,BIGnBADBERTO,0.57,175.9,QB Baker Mayfield RB Saquon Barkley FLEX James Conner RB Marlon Mack WR Odell Beckham Jr. WR Larry Fitzgerald WR Courtland Sutton TE David Njoku DST Broncos ,,Greg Olsen,TE,0.57%,15.6
96,1244019739,klhbui,5.72,175.64,QB Jameis Winston FLEX Todd Gurley II RB James Conner RB Kareem Hunt WR Chris Godwin WR Christian Kirk WR Larry Fitzgerald TE O.J. Howard DST Steelers ,,Doug Martin,RB,0.48%,9.9
97,1244482012,and1jsheng,9.73,175.62,QB Patrick Mahomes FLEX Todd Gurley II RB Kareem Hunt RB Phillip Lindsay WR Robert Woods WR Larry Fitzgerald WR Seth Roberts TE O.J. Howard DST Steelers ,,Broncos ,DST,0.48%,3
98,1243608156,reggiedaman05,0,175.44,QB Jameis Winston FLEX Marlon Mack RB Phillip Lindsay RB Doug Martin WR Mike Evans WR Tyler Boyd WR Taylor Gabriel TE Travis Kelce DST Steelers ,,Trenton Cannon,FLEX,0.48%,5.2
99,1244140654,dudelookslikeabrady,5.15,175.24,QB Jameis Winston RB Todd Gurley II FLEX James Conner RB Kareem Hunt WR Taylor Gabriel WR Larry Fitzgerald WR Courtland Sutton TE O.J. Howard DST Steelers ,,Seahawks ,DST,0.44%,10
100,1241189292,MidwayMonsters3,4.58,175.14,QB Jameis Winston RB Todd Gurley II RB James Conner FLEX Phillip Lindsay WR Tyler Boyd WR Michael Crabtree WR Courtland Sutton TE O.J. Howard DST Steelers ,,Marvin Jones Jr.,WR,0.44%,33.7
101,1241432894,jlagatic,9.16,174.9,QB Jared Goff FLEX James Conner RB Kerryon Johnson RB Phillip Lindsay WR Robert Woods WR Tyler Boyd WR T.Y. Hilton TE O.J. Howard DST Steelers ,,Devin Funchess,WR,0.44%,5.7
102,1244628465,cc66,4.58,174.84,QB Jameis Winston FLEX James Conner RB Joe Mixon RB Kerryon Johnson WR Robert Woods WR T.Y. Hilton WR Sammy Watkins TE O.J. Howard DST Steelers ,,Matthew Stafford,QB,0.44%,22
103,1241164685,tbraggin,9.16,174.8,QB Jared Goff RB James Conner RB Kareem Hunt FLEX Chris Carson WR Davante Adams WR Jordy Nelson WR Anthony Miller TE Travis Kelce DST Steelers ,,Tyreek Hill,WR,0.44%,10
104,1245074690,mbusster,0.57,174.76,QB Andrew Luck FLEX James Conner RB Joe Mixon RB Kareem Hunt WR Marvin Jones Jr. WR Jordy Nelson WR Chester Rogers TE Eric Ebron DST Cardinals ,,Antonio Callaway,WR,0.40%,14.6
105,1236528495,uggy110111,5.15,174.44,QB Jameis Winston RB James Conner RB Kareem Hunt FLEX Phillip Lindsay WR Robert Woods WR Tyler Boyd WR Christian Kirk TE O.J. Howard DST Steelers ,,Cam Newton,QB,0.35%,27.96
106,1238107176,Pmuns23,4.58,174.38,QB Ben Roethlisberger RB James Conner RB Kerryon Johnson FLEX Phillip Lindsay WR Antonio Brown WR Robert Woods WR Courtland Sutton TE O.J. Howard DST Redskins ,,Baker Mayfield,QB,0.35%,15.1
107,1236578286,iBraden,14.31,174.14,QB Aaron Rodgers FLEX Todd Gurley II RB James Conner RB Kareem Hunt WR Geronimo Allison WR Larry Fitzgerald WR Anthony Miller TE O.J. Howard DST Steelers ,,Christian McCaffrey,RB,0.35%,21.6
107,1244648313,JudBroIUND,14.31,174.14,QB Aaron Rodgers FLEX Todd Gurley II RB James Conner RB Kareem Hunt WR Geronimo Allison WR Larry Fitzgerald WR Anthony Miller TE O.J. Howard DST Steelers ,,C.J. Beathard,QB,0.31%,11.3
