Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
26,1231599302,samboneys,0,180.36,QB Joe Flacco RB Todd Gurley II RB Nick Chubb WR Adam Thielen FLEX Alshon Jeffery WR Marquise Goodwin WR Tre'Quan Smith TE Trey Burton DST Rams ,,Jarvis Landry,WR,7.09%,25.7
27,1230359183,tcmcgeeiii,0,180.16,QB Cam Newton RB Todd Gurley II RB Tarik Cohen FLEX Nick Chubb WR Adam Thielen WR John Brown WR Jermaine Kearse TE David Njoku DST Texans ,,Eagles ,DST,6.73%,2
28,1230458500,ryanleedietz,0,179.52,QB Mitchell Trubisky RB Todd Gurley II FLEX Kerryon Johnson RB Nick Chubb WR Adam Thielen WR Alshon Jeffery WR Taylor Gabriel TE David Njoku DST Lions ,,Michael Crabtree,WR,6.73%,11.6
29,1228037432,Stolitonic,0,179.32,QB Mitchell Trubisky RB Todd Gurley II RB Tarik Cohen WR John Brown WR Josh Gordon WR Taylor Gabriel FLEX Zach Ertz TE David Njoku DST Jets ,,Alshon Jeffery,WR,6.47%,21.8
30,1229995154,JamesEnderHurdle,0,178.5,QB Baker Mayfield RB Todd Gurley II RB Tarik Cohen FLEX Lamar Miller WR Jarvis Landry WR Alshon Jeffery WR Michael Crabtree TE O.J. Howard DST Texans ,,Jameis Winston,QB,6.43%,26.1
31,1223604079,chalaska,0,178.14,QB Sam Darnold RB Todd Gurley II RB Nick Chubb FLEX Adam Thielen WR John Brown WR Josh Gordon WR Robby Anderson TE O.J. Howard DST Rams ,,Cowboys ,DST,5.24%,2
32,1231432182,ocampogeo,0,178.02,QB Mitchell Trubisky RB Todd Gurley II RB Kerryon Johnson WR Adam Thielen WR John Brown WR Taylor Gabriel FLEX Chris Godwin TE David Njoku DST Bills ,,Brandin Cooks,WR,5.24%,17.1
33,1224137933,PretzelPickin,0,177.2,QB Carson Wentz RB Todd Gurley II RB Kerryon Johnson FLEX Nick Chubb WR Adam Thielen WR Devin Funchess WR Taylor Gabriel TE David Njoku DST Colts ,,Zach Ertz,TE,5.06%,25.8
34,1227835062,dakota7,0,177.16,QB Cam Newton FLEX Todd Gurley II RB Kerryon Johnson RB Nick Chubb WR Adam Thielen WR Robert Woods WR Chris Godwin TE O.J. Howard DST Patriots ,,Latavius Murray,FLEX,5.06%,22.3
35,1230796433,onaRoll37,0,176.76,QB Joe Flacco FLEX Todd Gurley II RB Tarik Cohen RB Kerryon Johnson WR Adam Thielen WR Michael Crabtree WR Willie Snead IV TE David Njoku DST Colts ,,Jaguars ,DST,5.02%,2
36,1223421594,dddennis,0,176.62,QB Mitchell Trubisky RB Todd Gurley II FLEX Tarik Cohen RB Nick Chubb WR Jarvis Landry WR Robert Woods WR Jermaine Kearse TE David Njoku DST Colts ,,Mitchell Trubisky,QB,4.84%,36.42
36,1224000847,BBGChris,0,176.62,QB Mitchell Trubisky RB Todd Gurley II RB Tarik Cohen FLEX Nick Chubb WR Jarvis Landry WR Robert Woods WR Jermaine Kearse TE David Njoku DST Colts ,,Golden Tate,WR,4.67%,10.6
36,1226310669,yellobeaver,0,176.62,QB Mitchell Trubisky RB Todd Gurley II RB Tarik Cohen FLEX Nick Chubb WR Jarvis Landry WR Robert Woods WR Jermaine Kearse TE David Njoku DST Colts ,,Julian Edelman,WR,4.53%,14.6
36,1226992431,timjeu,0,176.62,QB Mitchell Trubisky RB Todd Gurley II RB Tarik Cohen FLEX Nick Chubb WR Jarvis Landry WR Robert Woods WR Jermaine Kearse TE David Njoku DST Colts ,,Peyton Barber,RB,4.49%,3
36,1227156063,jonhockey17,0,176.62,QB Mitchell Trubisky RB Todd Gurley II RB Tarik Cohen FLEX Nick Chubb WR Jarvis Landry WR Robert Woods WR Jermaine Kearse TE David Njoku DST Colts ,,John Brown,WR,4.31%,29.4
41,1231410551,brian7427,0,176.1,QB Jameis Winston FLEX Todd Gurley II RB Tarik Cohen RB Nick Chubb WR Adam Thielen WR Josh Gordon WR Josh Reynolds TE David Njoku DST Colts ,,Kenny Golladay,WR,4.09%,5.7
