Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Marcus Morris (11563994) (LOCKED),Marcus Morris,11563994,SF/PF/F/UTIL,5600,Final,BOS,27.41
C,Wendell Carter Jr. (11563888) (LOCKED),Wendell Carter Jr.,11563888,C/UTIL,5500,Final,CHI,27.67
SG/SF,Rodney Hood (11564106) (LOCKED),Rodney Hood,11564106,SG/SF/F/G/UTIL,5500,Final,CLE,22.75
PF/C,Larry Nance Jr. (11564099) (LOCKED),Larry Nance Jr.,11564099,PF/C/F/UTIL,5400,Final,CLE,24.58
C,Myles Turner (11563934) (LOCKED),Myles Turner,11563934,C/UTIL,5300,Final,IND,26.28
SF,Cedi Osman (11564103) (LOCKED),Cedi Osman,11564103,SF/F/UTIL,5300,Final,CLE,25.81
PG,Rajon Rondo (11564332) (LOCKED),Rajon Rondo,11564332,PG/G/UTIL,5300,In Progress,LAL,29.45
SG/SF,Gordon Hayward (11564003) (LOCKED),Gordon Hayward,11564003,SG/SF/F/G/UTIL,5200,Final,BOS,23.29
PG,Lonzo Ball (11564340) (LOCKED),Lonzo Ball,11564340,PG/G/UTIL,5200,In Progress,LAL,25.06
SF/PF,Thaddeus Young (11563936) (LOCKED),Thaddeus Young,11563936,SF/PF/F/UTIL,5100,Final,IND,23.64
SF/PF,Jae Crowder (11564167) (LOCKED),Jae Crowder,11564167,SF/PF/F/UTIL,5100,Final,UTA,26.16
PG,Isaiah Thomas (11564226) (LOCKED),Isaiah Thomas,11564226,PG/G/UTIL,5100,Final,DEN,0
SF/PF,Al-Farouq Aminu (11564285) (LOCKED),Al-Farouq Aminu,11564285,SF/PF/F/UTIL,5100,In Progress,POR,22.94
PG/SG,Dwyane Wade (11564399) (LOCKED),Dwyane Wade,11564399,PG/SG/G/UTIL,5100,Final,MIA,24.61
PF,Lauri Markkanen (11563885) (LOCKED),Lauri Markkanen,11563885,PF/F/UTIL,5000,Final,CHI,0
SG/SF,Jaylen Brown (11563998) (LOCKED),Jaylen Brown,11563998,SG/SF/F/G/UTIL,5000,Final,BOS,20.82
SG/SF,Dion Waiters (11564390) (LOCKED),Dion Waiters,11564390,SG/SF/F/G/UTIL,5000,Final,MIA,0
SF/PF,James Johnson (11564395) (LOCKED),James Johnson,11564395,SF/PF/F/UTIL,5000,Final,MIA,0
SG/SF,E'Twaun Moore (11564557) (LOCKED),E'Twaun Moore,11564557,SG/SF/F/G/UTIL,5000,Final,NO,23.5
SG/SF,Jeremy Lamb (11564051) (LOCKED),Jeremy Lamb,11564051,SG/SF/F/G/UTIL,4900,Final,CHA,22.56
SG/SF,Evan Turner (11564277) (LOCKED),Evan Turner,11564277,SG/SF/F/G/UTIL,4900,In Progress,POR,24.88
SG/SF,Justin Holiday (11563890) (LOCKED),Justin Holiday,11563890,SG/SF/F/G/UTIL,4800,Final,CHI,25.28
C,Tristan Thompson (11564111) (LOCKED),Tristan Thompson,11564111,C/UTIL,4800,Final,CLE,23.88
SF/PF,Sam Dekker (11564117) (LOCKED),Sam Dekker,11564117,SF/PF/F/UTIL,4800,Final,CLE,16.61
PG,Collin Sexton (11564121) (LOCKED),Collin Sexton,11564121,PG/G/UTIL,4800,Final,CLE,18.91
SG/SF,Tyreke Evans (11563940) (LOCKED),Tyreke Evans,11563940,SG/SF/F/G/UTIL,4700,Final,IND,21.75
