Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1247494542,thejester444,49.32,311.25,PG Ben Simmons F Khris Middleton SF Tim Hardaway Jr. SG CJ McCollum G Klay Thompson UTIL Nemanja Bjelica C Jarrett Allen PF Ersan Ilyasova,,Khris Middleton,SG,82.98%,20.75
2,1247992286,rhetthuffaker20,60.01,296.75,F LeBron James PG Ben Simmons SG Klay Thompson SF Robert Covington G Jeff Teague C Alex Len PF Pascal Siakam UTIL Frank Ntilikina,,Jrue Holiday,G,82.33%,19.25
3,1248161814,kmetdakid,100.33,290,UTIL Karl-Anthony Towns F Jimmy Butler SF Khris Middleton PG Eric Bledsoe SG Klay Thompson PF Nemanja Bjelica G Jeff Teague C Ersan Ilyasova,,Eric Bledsoe,PG,74.61%,25.25
4,1247578062,cj1128,103.32,287.5,C Karl-Anthony Towns F Jimmy Butler G Kyle Lowry PG Jrue Holiday SG Klay Thompson SF Robert Covington PF Pascal Siakam UTIL Mitchell Robinson,,Pascal Siakam,PF,56.17%,38
5,1247424886,selbornebarmyarmy,101.31,282.5,C Joel Embiid UTIL Karl-Anthony Towns G Jrue Holiday SG Klay Thompson F Nemanja Bjelica PG Jeff Teague SF Justin Holiday PF Pascal Siakam,,Kyle Lowry,UTIL,53.29%,35
6,1247387167,entertheroundabout,61.71,278.5,SG Zach LaVine C Hassan Whiteside PG Goran Dragic UTIL Willie Cauley-Stein F Jabari Parker SF Robert Covington G Jeff Teague PF Serge Ibaka,,Ersan Ilyasova,C,52.75%,34.25
7,1247641893,GACTIONPHOTS,66.12,277.25,SF Ben Simmons C Karl-Anthony Towns PG Goran Dragic SG Eric Bledsoe UTIL Buddy Hield G Jeff Teague PF Kelly Olynyk F Pascal Siakam,,Nikola Mirotic,SF,45.73%,9.75
7,1248052524,MattOneMilli,66.12,277.25,SF Ben Simmons C Karl-Anthony Towns PG Goran Dragic SG Eric Bledsoe UTIL Buddy Hield G Jeff Teague PF Kelly Olynyk F Pascal Siakam,,Jimmy Butler,G,35.83%,31
9,1247743940,rdegk15,80.95,274.25,C Joel Embiid G Kyle Lowry SF Khris Middleton PG Eric Bledsoe SG Klay Thompson UTIL Jarrett Allen PF Ersan Ilyasova F Pascal Siakam,,Julius Randle,C,29.96%,13.25
9,1248025443,onemanwolfpack10,80.95,274.25,C Joel Embiid G Kyle Lowry SF Khris Middleton PG Eric Bledsoe SG Klay Thompson UTIL Jarrett Allen F Ersan Ilyasova PF Pascal Siakam,,Joel Embiid,C,23.82%,28.5
9,1248128718,seanjunk,80.95,274.25,C Joel Embiid PG Kyle Lowry SF Khris Middleton SG Eric Bledsoe G Klay Thompson UTIL Jarrett Allen PF Ersan Ilyasova F Pascal Siakam,,Brook Lopez,UTIL,20.83%,13
12,1247957337,dcantrell365,92.25,272.75,C Joel Embiid PG Kyle Lowry SF Khris Middleton SG Eric Bledsoe UTIL Klay Thompson G Jeff Teague PF Ersan Ilyasova F Pascal Siakam,,Jeff Teague,UTIL,19.03%,24.75
13,1247682031,SlaymondGreen,125.09,270,F LeBron James SF Khris Middleton UTIL Jrue Holiday SG Eric Bledsoe G Klay Thompson PG Jeff Teague C Ersan Ilyasova PF Pascal Siakam,,Malcolm Brogdon,SG,16.31%,23.5
