Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1252091492,panther_820,0,340.25,C Joel Embiid PG De'Aaron Fox G Buddy Hield F Nemanja Bjelica UTIL Al Horford SF Robert Covington PF Dewayne Dedmon SG Jeremy Lamb,,Buddy Hield,SF,76.37%,49.25
2,1251907209,movie420,0,337.75,UTIL Joel Embiid PG De'Aaron Fox SG Buddy Hield C Al Horford G Nicolas Batum PF Robert Covington F Dario Saric SF Jeremy Lamb,,Jrue Holiday,SG,71.24%,18.25
3,1251636303,stayeduptolate,24,337.5,C Joel Embiid PG Kemba Walker G De'Aaron Fox F Buddy Hield PF Robert Covington SG Jeremy Lamb UTIL Al-Farouq Aminu SF Iman Shumpert,,Nikola Mirotic,UTIL,55.40%,22.5
4,1251775357,ThatStunna,24,333.5,C Joel Embiid F Nikola Mirotic PG De'Aaron Fox G Buddy Hield SF Robert Covington PF Marcus Morris SG Jeremy Lamb UTIL Terry Rozier,,Al-Farouq Aminu,SF,52.70%,20.25
4,1252030455,mrrutexas,24,333.5,G Russell Westbrook PG De'Aaron Fox SG Buddy Hield UTIL Nemanja Bjelica C Al Horford PF Robert Covington SF Trey Lyles F Al-Farouq Aminu,,Willie Cauley-Stein,C,39.43%,24.5
6,1252020429,Gerard_Brown6,24,333,C Joel Embiid PG Kemba Walker G De'Aaron Fox SF Buddy Hield PF Robert Covington SG Malcolm Brogdon UTIL Monte Morris F Al-Farouq Aminu,,De'Aaron Fox,PG,37.08%,72.5
7,1251780868,Velez1390,0,331.5,PG Russell Westbrook C Willie Cauley-Stein G De'Aaron Fox F Buddy Hield SF Robert Covington UTIL Marcus Morris PF Trey Lyles SG Markelle Fultz,,Robert Covington,PF,32.29%,36.25
8,1252167670,Randyc2115,0,331,C Joel Embiid PG De'Aaron Fox SG Eric Bledsoe F Buddy Hield UTIL Al Horford SF Robert Covington PF Dewayne Dedmon G Terry Rozier,,Joel Embiid,C,30.90%,68.75
9,1251632324,jmartinson,0,330,C Joel Embiid G Kemba Walker PG De'Aaron Fox F Buddy Hield PF Robert Covington SF Jeremy Lamb SG Terry Rozier UTIL Malik Beasley,,E'Twaun Moore,F,28.94%,16.75
10,1251728998,jaybird4745,24,329.25,C Joel Embiid G Trae Young PG De'Aaron Fox SG Buddy Hield PF Al Horford SF Robert Covington F Al-Farouq Aminu UTIL Brook Lopez,,Nemanja Bjelica,PF,26.15%,30
11,1252284527,alimoyni,0,329,C Joel Embiid PG De'Aaron Fox UTIL Buddy Hield PF Nemanja Bjelica G Nicolas Batum F Robert Covington SF Dario Saric SG Jeremy Lamb,,Terry Rozier,G,25.11%,24.25
12,1251484156,chasester,0,327.25,C Joel Embiid UTIL Willie Cauley-Stein PG De'Aaron Fox G Buddy Hield SG JJ Redick SF Robert Covington F Trey Lyles PF Jerami Grant,,Dario Saric,UTIL,20.93%,11.75
