Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
13,1251242208,SlowQueen,24,325.5,C Joel Embiid PG Kemba Walker G De'Aaron Fox SF Buddy Hield PF Robert Covington SG Jeremy Lamb F Al-Farouq Aminu UTIL Marcus Smart,,Russell Westbrook,G,20.50%,60
14,1251442432,LaMonteBrip,0,325.25,C Joel Embiid PG De'Aaron Fox UTIL Danilo Gallinari SG Buddy Hield F Nemanja Bjelica SF Dario Saric PF Trey Lyles G Malcolm Brogdon,,Kemba Walker,PG,16.23%,38.25
15,1251665664,badguyJIM,48,324,C Joel Embiid PF Nikola Mirotic PG De'Aaron Fox SG Buddy Hield F Robert Covington UTIL Marcus Morris G Terry Rozier SF Al-Farouq Aminu,,Julius Randle,C,13.19%,29.25
16,1252136548,dsharp4,72,323.75,G Russell Westbrook C Joel Embiid PG De'Aaron Fox F Buddy Hield SF E'Twaun Moore UTIL Terry Rozier PF Al-Farouq Aminu SG Tim Frazier,,Al Horford,C,13.05%,38.75
17,1252233187,dannyoms,0,323.5,PG Russell Westbrook G De'Aaron Fox F Buddy Hield C Al Horford SG Nicolas Batum SF Robert Covington PF Dario Saric UTIL Terry Rozier,,Nicolas Batum,F,12.84%,30.75
18,1251336704,Moose5454,72,323,PG Russell Westbrook C Joel Embiid G De'Aaron Fox SG Buddy Hield SF Jerami Grant F E'Twaun Moore PF Al-Farouq Aminu UTIL Tim Frazier,,Jusuf Nurkic,C,12.49%,16.75
18,1252032847,OscarGamble,0,323,C Joel Embiid PG De'Aaron Fox G Buddy Hield PF Nemanja Bjelica SG JJ Redick F Robert Covington SF Dario Saric UTIL Malcolm Brogdon,,Trae Young,G,9.92%,30.25
20,1251524497,cpb21,24,322,C Joel Embiid F Nikola Mirotic PG De'Aaron Fox G Buddy Hield SG Nicolas Batum PF Marcus Morris UTIL Terry Rozier SF DeAndre' Bembry,,Marcus Morris,F,9.53%,30.25
21,1251805101,metin317,24,321.25,C Joel Embiid PG Trae Young G De'Aaron Fox PF Danilo Gallinari SF Robert Covington F Marcus Morris UTIL Malcolm Brogdon SG E'Twaun Moore,,Damian Lillard,PG,8.96%,24
22,1251452611,blitzology,24,320.75,C Joel Embiid UTIL Nikola Mirotic PG De'Aaron Fox SF Buddy Hield F Al Horford PF Dewayne Dedmon SG Jeremy Lamb G Terry Rozier,,Evan Turner,UTIL,7.66%,16
23,1251738045,Mickspicks,48,320.5,C Joel Embiid G Damian Lillard PG De'Aaron Fox SF Buddy Hield F Jeremy Lamb SG Markelle Fultz PF Al-Farouq Aminu UTIL DeAndre' Bembry,,Marcus Smart,UTIL,7.48%,10.5
24,1251637200,GoongaLaGoonga09,48,320.25,C Joel Embiid G Jrue Holiday PG De'Aaron Fox F Buddy Hield SG Nicolas Batum SF Robert Covington UTIL Terry Rozier PF Al-Farouq Aminu,,Zach Collins,F,7.40%,2.75
24,1251641387,rphill23,48,320.25,C Joel Embiid SG Jrue Holiday PG De'Aaron Fox SF Buddy Hield F Nicolas Batum PF Robert Covington G Terry Rozier UTIL Al-Farouq Aminu,,Iman Shumpert,UTIL,7.22%,22.5
24,1252260669,Bbondsmvp,48,320.25,C Joel Embiid UTIL Jrue Holiday PG De'Aaron Fox SG Buddy Hield F Nicolas Batum SF Robert Covington G Terry Rozier PF Al-Farouq Aminu,,Cody Zeller,UTIL,7.18%,21.5
27,1251583469,TBell1984,24,320,C Joel Embiid PF Nikola Mirotic PG De'Aaron Fox G Buddy Hield SF Nemanja Bjelica F Marcus Morris UTIL Terry Rozier SG Iman Shumpert,,Collin Sexton,G,6.92%,18
28,1251521258,gdaly,24,319.5,G Russell Westbrook PG De'Aaron Fox UTIL Buddy Hield C Al Horford SG Nicolas Batum SF Robert Covington PF Dario Saric F Al-Farouq Aminu,,Markelle Fultz,PG,6.53%,32.25
29,1251424947,tverde12,48,319.25,C Joel Embiid UTIL Nikola Mirotic PG De'Aaron Fox G Buddy Hield SG JJ Redick PF Robert Covington SF Al-Farouq Aminu F DeAndre' Bembry,,Giannis Antetokounmpo,SF,6.44%,55.25
29,1251435502,mauisoxfan,24,319.25,G Russell Westbrook C Joel Embiid PG De'Aaron Fox SG Buddy Hield PF Dewayne Dedmon SF Al-Farouq Aminu UTIL Malik Beasley F Iman Shumpert,,Monte Morris,PG,5.96%,19.25
31,1251633900,jdv23,48,319,UTIL Joel Embiid C Willie Cauley-Stein PG De'Aaron Fox F Julius Randle SG Buddy Hield PF Marcus Morris G Terry Rozier SF Al-Farouq Aminu,,Dewayne Dedmon,PF,5.35%,15
32,1251864271,PrimeTime887,0,318.75,UTIL Joel Embiid C Willie Cauley-Stein PG De'Aaron Fox SF Buddy Hield SG JJ Redick PF Robert Covington G Collin Sexton F Jerami Grant,,CJ McCollum,UTIL,5.09%,7.5
33,1251858550,EasyEatWB910,24,318.5,C Joel Embiid SG Jrue Holiday PG De'Aaron Fox F Buddy Hield PF Nemanja Bjelica SF Robert Covington UTIL Monte Morris G Tony Parker,,Sam Dekker,F,5.05%,17.5
33,1251976273,sbyr160,24,318.5,C Joel Embiid PG De'Aaron Fox SG Buddy Hield PF Paul Millsap G Kent Bazemore SF Robert Covington F Rodney Hood UTIL Tim Frazier,,Ben Simmons,SF,4.53%,36.75
35,1251486997,Merrill612,48,318.25,UTIL Russell Westbrook G Trae Young PG De'Aaron Fox F Julius Randle SG Buddy Hield SF Marcus Morris PF Al-Farouq Aminu C Mason Plumlee,,Jerami Grant,UTIL,4.44%,23.5
36,1251511989,jernshe,48,317.75,C Joel Embiid PG Jrue Holiday UTIL De'Aaron Fox SG Buddy Hield PF Nemanja Bjelica SF Robert Covington F Al-Farouq Aminu G Iman Shumpert,,JJ Redick,SG,4.40%,26
36,1251635465,dmpeters1,24,317.75,PG Kyrie Irving G Jrue Holiday UTIL De'Aaron Fox SF Buddy Hield F Nemanja Bjelica C Al Horford PF Marcus Morris SG Malcolm Brogdon,,Tim Frazier,SG,4.35%,12
38,1252221430,f-porcino,48,317.5,C Joel Embiid UTIL Willie Cauley-Stein PG De'Aaron Fox SG Buddy Hield SF Nemanja Bjelica PF Robert Covington G Evan Turner F Al-Farouq Aminu,,Jeremy Lamb,SF,4.31%,29.75
39,1251397759,Jd619641,48,317.25,C Joel Embiid G Trae Young PG De'Aaron Fox SG Buddy Hield SF Nemanja Bjelica PF Marcus Morris F Evan Turner UTIL Al-Farouq Aminu,,Cedi Osman,F,4.18%,18.75
40,1251794654,vindicatortd01,48,317,PG Russell Westbrook UTIL De'Aaron Fox G Buddy Hield PF Al Horford F Kent Bazemore C Jusuf Nurkic SG Markelle Fultz SF Al-Farouq Aminu,,Jayson Tatum,PF,4.05%,25.5
41,1251687010,chicksdigthewongball,72,316.5,PG Russell Westbrook G De'Aaron Fox PF Julius Randle SG Buddy Hield C Jusuf Nurkic SF Robert Covington UTIL Markelle Fultz F Al-Farouq Aminu,,Brook Lopez,C,4.05%,13.25
42,1251399496,bsquare81,72,315.25,C Joel Embiid UTIL Nikola Mirotic PG De'Aaron Fox PF Julius Randle SF Buddy Hield G Malcolm Brogdon SG Terry Rozier F Al-Farouq Aminu,,Danilo Gallinari,PF,3.52%,38
42,1251552214,bgiesecke29,72,315.25,C Joel Embiid F Nikola Mirotic PG De'Aaron Fox PF Julius Randle SF Buddy Hield G Malcolm Brogdon SG Terry Rozier UTIL Al-Farouq Aminu,,Kyrie Irving,PG,3.48%,50.25
42,1251596209,mrcarlmc,72,315.25,C Joel Embiid F Nikola Mirotic PG De'Aaron Fox PF Julius Randle SG Buddy Hield G Malcolm Brogdon UTIL Terry Rozier SF Al-Farouq Aminu,,Kent Bazemore,SG,3.48%,27.25
42,1251690649,kejo102706,72,315.25,UTIL Joel Embiid PF Nikola Mirotic G De'Aaron Fox C Julius Randle F Buddy Hield SG Malcolm Brogdon PG Terry Rozier SF Al-Farouq Aminu,,Alex Len,UTIL,3.18%,18.5
42,1251796358,Jus2win,72,315.25,C Joel Embiid F Nikola Mirotic UTIL De'Aaron Fox PF Julius Randle G Buddy Hield SG Malcolm Brogdon PG Terry Rozier SF Al-Farouq Aminu,,Malcolm Brogdon,G,3.18%,28.5
42,1252019836,zone2323,72,315.25,C Joel Embiid F Nikola Mirotic UTIL De'Aaron Fox PF Julius Randle G Buddy Hield SG Malcolm Brogdon PG Terry Rozier SF Al-Farouq Aminu,,Mason Plumlee,F,3.18%,26.5
42,1252180414,Str8CashBoyz,72,315.25,C Joel Embiid F Nikola Mirotic UTIL De'Aaron Fox PF Julius Randle G Buddy Hield SG Malcolm Brogdon PG Terry Rozier SF Al-Farouq Aminu,,Steven Adams,C,3.09%,31
42,1252189590,incawarrior,72,315.25,C Joel Embiid F Nikola Mirotic UTIL De'Aaron Fox PF Julius Randle G Buddy Hield SG Malcolm Brogdon PG Terry Rozier SF Al-Farouq Aminu,,Rodney Hood,SF,2.83%,25
42,1252266291,StevenRV,72,315.25,C Joel Embiid F Nikola Mirotic PG De'Aaron Fox PF Julius Randle SG Buddy Hield G Malcolm Brogdon UTIL Terry Rozier SF Al-Farouq Aminu,,Marvin Bagley III,UTIL,2.22%,25.75
42,1252305417,Jefe35,72,315.25,C Joel Embiid F Nikola Mirotic UTIL De'Aaron Fox PF Julius Randle G Buddy Hield SG Malcolm Brogdon PG Terry Rozier SF Al-Farouq Aminu,,Trey Lyles,PF,2.22%,26.5
42,1252312068,nickschiano,24,315.25,C Joel Embiid UTIL Willie Cauley-Stein PG De'Aaron Fox SG Buddy Hield SF Nemanja Bjelica PF Marvin Bagley III G Terry Rozier F Al-Farouq Aminu,,Lou Williams,PG,2.09%,31.25
53,1251190724,chrisherne,24,315,C Joel Embiid PG De'Aaron Fox PF Danilo Gallinari G Buddy Hield SF Nemanja Bjelica F JJ Redick UTIL Alex Len SG Tim Frazier,,Nikola Jokic,C,2.00%,19
53,1251637323,DClive8380,24,315,PG Russell Westbrook C Joel Embiid SG Buddy Hield PF Robert Covington UTIL Trey Lyles SF Jeremy Lamb G Terry Rozier F Al-Farouq Aminu,,Michael Kidd-Gilchrist,PF,2.00%,21.75
55,1251655721,jordy3000,48,314.5,PF Giannis Antetokounmpo UTIL Nikola Mirotic G De'Aaron Fox SG Buddy Hield C Al Horford PG Markelle Fultz F Al-Farouq Aminu SF DeAndre' Bembry,,Paul Millsap,PF,1.96%,27.5
55,1252311514,Greg_har,48,314.5,PG Russell Westbrook C Willie Cauley-Stein G De'Aaron Fox UTIL Julius Randle SG Buddy Hield PF Robert Covington F Al-Farouq Aminu SF Iman Shumpert,,Gordon Hayward,G,1.91%,33.5
57,1251789968,mvp3209,72,314,C Joel Embiid SG Jrue Holiday PG De'Aaron Fox UTIL Buddy Hield PF Al Horford SF Marcus Morris G Evan Turner F Al-Farouq Aminu,,Paul George,PF,1.87%,42.5
58,1252057444,seapanther,24,313.5,C Joel Embiid PG Trae Young G De'Aaron Fox SG Buddy Hield SF Cedi Osman F Robert Covington PF Sam Dekker UTIL Al-Farouq Aminu,,Frank Mason III,PG,1.87%,14.75
59,1251926854,shocae,24,312.75,F Giannis Antetokounmpo PG De'Aaron Fox SG Buddy Hield PF Nemanja Bjelica C Al Horford SF Robert Covington UTIL Al-Farouq Aminu G Marcus Smart,,DeAndre' Bembry,SF,1.78%,23.75
60,1251366507,PetrGibbons,48,312.25,SF Giannis Antetokounmpo UTIL Nikola Mirotic PG De'Aaron Fox G Buddy Hield PF Al Horford SG Markelle Fultz C Cody Zeller F Al-Farouq Aminu,,Patrick Beverley,SG,1.74%,18
60,1251758363,craftylefty,48,312.25,SF Giannis Antetokounmpo UTIL Nikola Mirotic PG De'Aaron Fox G Buddy Hield PF Al Horford SG Markelle Fultz C Cody Zeller F Al-Farouq Aminu,,Tristan Thompson,F,1.52%,24.75
60,1252237689,cleemiller12597,48,312.25,SF Giannis Antetokounmpo UTIL Nikola Mirotic G De'Aaron Fox SG Buddy Hield PF Al Horford PG Markelle Fultz C Cody Zeller F Al-Farouq Aminu,,Tobias Harris,F,1.48%,41
60,1252292356,fill79,48,312.25,SF Giannis Antetokounmpo F Nikola Mirotic G De'Aaron Fox SG Buddy Hield UTIL Al Horford PG Markelle Fultz C Cody Zeller PF Al-Farouq Aminu,,Vince Carter,SG,1.48%,7.5
64,1251364910,nathanv23,48,311.25,C Joel Embiid PG Jrue Holiday G De'Aaron Fox F Buddy Hield SF Nemanja Bjelica PF Robert Covington SG Terry Rozier UTIL Tim Frazier,,Tony Parker,PG,1.44%,24.25
65,1251498092,treagon,72,311,C Joel Embiid PG De'Aaron Fox PF Julius Randle SF Buddy Hield UTIL Jusuf Nurkic SG Lou Williams F Trey Lyles G E'Twaun Moore,,Montrezl Harrell,F,1.22%,14
65,1252159180,mdubb354,72,311,C Joel Embiid UTIL Jrue Holiday PG De'Aaron Fox PF Julius Randle SF Buddy Hield G Malcolm Brogdon SG Terry Rozier F Al-Farouq Aminu,,Khris Middleton,F,1.13%,32.5
67,1251390465,brand1217,48,310.75,C Joel Embiid F Nikola Mirotic PG De'Aaron Fox SG Buddy Hield UTIL Nicolas Batum SF Robert Covington PF Al-Farouq Aminu G Marcus Smart,,Eric Bledsoe,PG,1.04%,26.25
67,1251890552,thewayofwade,48,310.75,C Joel Embiid F Nikola Mirotic PG De'Aaron Fox SG Buddy Hield UTIL Nicolas Batum SF Robert Covington PF Al-Farouq Aminu G Marcus Smart,,Jahlil Okafor,C,0.91%,4.75
67,1251907925,rade348,48,310.75,C Joel Embiid SG Jrue Holiday PG De'Aaron Fox G Buddy Hield SF Nemanja Bjelica F Marcus Morris UTIL Cody Zeller PF Al-Farouq Aminu,,Malik Beasley,G,0.74%,11
67,1252102949,MattMoose,48,310.75,C Joel Embiid F Nikola Mirotic PG De'Aaron Fox SG Buddy Hield UTIL Nicolas Batum SF Robert Covington PF Al-Farouq Aminu G Marcus Smart,,Jordan Clarkson,SG,0.74%,24
67,1252184023,porky78,48,310.75,C Joel Embiid F Nikola Mirotic PG De'Aaron Fox SG Buddy Hield UTIL Nicolas Batum SF Robert Covington PF Al-Farouq Aminu G Marcus Smart,,Nik Stauskas,G,0.70%,14
67,1252260362,Rotobenchot,48,310.75,C Joel Embiid F Nikola Mirotic PG De'Aaron Fox SG Buddy Hield UTIL Nicolas Batum SF Robert Covington PF Al-Farouq Aminu G Marcus Smart,,Gary Harris,UTIL,0.70%,28.25
67,1252261253,turboyuri,48,310.75,C Joel Embiid UTIL Nikola Mirotic PG De'Aaron Fox SG Buddy Hield F Nicolas Batum PF Robert Covington SF Al-Farouq Aminu G Marcus Smart,,Taurean Prince,SF,0.70%,27.25
74,1252125585,superm123,24,310.5,C Joel Embiid UTIL Jrue Holiday PG De'Aaron Fox F Buddy Hield SF Nicolas Batum PF Robert Covington G Terry Rozier SG Marcus Smart,,Jamal Murray,PG,0.65%,15.25
75,1251541408,bradkins1975,0,310.25,C Steven Adams UTIL Trae Young PG De'Aaron Fox G Buddy Hield SF Nemanja Bjelica F Paul Millsap PF Robert Covington SG Gordon Hayward,,Frank Jackson,G,0.65%,4.5
76,1251438224,moklovin,48,309.25,C Joel Embiid UTIL Jrue Holiday PG De'Aaron Fox G Buddy Hield PF Al Horford SF Dario Saric SG Jeremy Lamb F Al-Farouq Aminu,,Malik Monk,G,0.61%,26.5
76,1252296300,Eaglesffl,48,309.25,UTIL Joel Embiid G Jrue Holiday PG De'Aaron Fox SG Buddy Hield C Al Horford PF Dario Saric F Jeremy Lamb SF Al-Farouq Aminu,,Shai Gilgeous-Alexander,PG,0.57%,14
78,1252249103,kellettr13,48,309,C Joel Embiid PG De'Aaron Fox F Danilo Gallinari SG Buddy Hield UTIL Jusuf Nurkic G JJ Redick SF Sam Dekker PF Al-Farouq Aminu,,Ersan Ilyasova,C,0.48%,16.25
79,1252113948,hoagies69,48,308.5,C Joel Embiid UTIL Trae Young G De'Aaron Fox PF Julius Randle SG Buddy Hield SF Sam Dekker F E'Twaun Moore PG Terry Rozier,,Cheick Diallo,F,0.44%,10
80,1251572187,BlackAvenger,72,308,C Joel Embiid G Jrue Holiday PG De'Aaron Fox PF Danilo Gallinari SF Buddy Hield UTIL E'Twaun Moore SG Terry Rozier F Al-Farouq Aminu,,Omari Spellman,UTIL,0.39%,11
80,1251398459,Sugerdaddy,48,308,C Joel Embiid UTIL Nikola Mirotic PG De'Aaron Fox G Buddy Hield SF Nemanja Bjelica PF Dewayne Dedmon SG Jeremy Lamb F Al-Farouq Aminu,,Dennis Schroder,UTIL,0.39%,34.25
80,1251470498,cparkerh5,48,308,C Joel Embiid UTIL Nikola Mirotic PG De'Aaron Fox G Buddy Hield SF Nemanja Bjelica PF Dewayne Dedmon SG Jeremy Lamb F Al-Farouq Aminu,,George Hill,PG,0.35%,17.75
80,1251601667,bigbfarro,48,308,C Joel Embiid UTIL Nikola Mirotic PG De'Aaron Fox G Buddy Hield SF Nemanja Bjelica PF Dewayne Dedmon SG Jeremy Lamb F Al-Farouq Aminu,,Anthony Davis,PF,0.35%,0
80,1251669377,kemmejd25,48,308,C Joel Embiid UTIL Nikola Mirotic PG De'Aaron Fox G Buddy Hield SF Nemanja Bjelica PF Dewayne Dedmon SG Jeremy Lamb F Al-Farouq Aminu,,Jeremy Lin,UTIL,0.26%,28.75
80,1251687491,B_Heals152,48,308,C Joel Embiid UTIL Nikola Mirotic PG De'Aaron Fox G Buddy Hield SF Nemanja Bjelica PF Dewayne Dedmon SG Jeremy Lamb F Al-Farouq Aminu,,Caleb Swanigan,PF,0.22%,5.5
80,1251823729,knuckler19,48,308,C Joel Embiid UTIL Nikola Mirotic PG De'Aaron Fox G Buddy Hield SF Nemanja Bjelica PF Dewayne Dedmon SG Jeremy Lamb F Al-Farouq Aminu,,Avery Bradley,UTIL,0.22%,7
80,1251874394,C.Dubs,48,308,C Joel Embiid UTIL Nikola Mirotic PG De'Aaron Fox G Buddy Hield SF Nemanja Bjelica PF Dewayne Dedmon SG Jeremy Lamb F Al-Farouq Aminu,,Mike Muscala,PF,0.22%,11
80,1251892443,rfugaj23,48,308,C Joel Embiid PG De'Aaron Fox UTIL Julius Randle SF Buddy Hield F Nemanja Bjelica SG Lou Williams PF Zach Collins G Terry Rozier,,John Henson,C,0.22%,10.25
80,1251903753,amendoza7,48,308,C Joel Embiid UTIL Nikola Mirotic PG De'Aaron Fox G Buddy Hield SF Nemanja Bjelica PF Dewayne Dedmon SG Jeremy Lamb F Al-Farouq Aminu,,Kyle Korver,G,0.17%,7.25
80,1252075242,ghostspider74,48,308,C Joel Embiid F Nikola Mirotic PG De'Aaron Fox SG Buddy Hield UTIL Al Horford SF Dario Saric G Terry Rozier PF Al-Farouq Aminu,,Guillermo Hernangómez,UTIL,0.17%,11.25
80,1252076981,kovaleski86,48,308,C Joel Embiid F Nikola Mirotic PG De'Aaron Fox G Buddy Hield SF Nemanja Bjelica PF Dewayne Dedmon SG Jeremy Lamb UTIL Al-Farouq Aminu,,Aron Baynes,C,0.13%,12.25
80,1252157791,cgla10,48,308,C Joel Embiid UTIL Nikola Mirotic PG De'Aaron Fox G Buddy Hield SF Nemanja Bjelica PF Dewayne Dedmon SG Jeremy Lamb F Al-Farouq Aminu,,Larry Nance Jr.,C,0.13%,21.25
80,1252287152,boondocksaint0318,48,308,C Joel Embiid UTIL Nikola Mirotic PG De'Aaron Fox G Buddy Hield SF Nemanja Bjelica PF Dewayne Dedmon SG Jeremy Lamb F Al-Farouq Aminu,,Torrey Craig,UTIL,0.13%,16
80,1252287843,EliteMafia,48,308,C Joel Embiid UTIL Nikola Mirotic PG De'Aaron Fox G Buddy Hield SF Nemanja Bjelica PF Dewayne Dedmon SG Jeremy Lamb F Al-Farouq Aminu,,Patrick Patterson,PF,0.13%,3.75
80,1252323237,BossTycoon,48,308,C Joel Embiid UTIL Nikola Mirotic PG De'Aaron Fox G Buddy Hield SF Nemanja Bjelica PF Dewayne Dedmon SG Jeremy Lamb F Al-Farouq Aminu,,Tony Snell,G,0.13%,11.5
80,1251831788,buzzsports,24,308,PG Russell Westbrook UTIL Steven Adams C Willie Cauley-Stein G De'Aaron Fox SF Buddy Hield SG Jordan Clarkson PF Al-Farouq Aminu F Mason Plumlee,,Marvin Williams,F,0.13%,6
97,1252237763,Ch0sen0ne,48,307.75,C Joel Embiid G Jrue Holiday PG De'Aaron Fox SG Buddy Hield PF Nemanja Bjelica SF Robert Covington UTIL Evan Turner F Miles Bridges,,Seth Curry,G,0.13%,9.75
98,1252244930,ronniesch55,24,307.5,C Joel Embiid SF Nikola Mirotic PG De'Aaron Fox SG Buddy Hield PF Nemanja Bjelica F Rodney Hood UTIL Michael Kidd-Gilchrist G Donte DiVincenzo,,Boban Marjanovic,C,0.09%,38.25
99,1251435915,klhbui,72,307.25,C Joel Embiid G Jrue Holiday PG De'Aaron Fox SG Buddy Hield SF Nemanja Bjelica PF Robert Covington F Al-Farouq Aminu UTIL Tim Frazier,,Justin Jackson,UTIL,0.09%,10.5
99,1251583481,jmacsfhuffle,72,307.25,PG Russell Westbrook SG Jrue Holiday G De'Aaron Fox SF Buddy Hield C Al Horford F Robert Covington PF Al-Farouq Aminu UTIL Tim Frazier,,Kevin Huerter,SG,0.09%,3.5
99,1251407011,ddevera76,48,307.25,C Joel Embiid UTIL Jrue Holiday PG Trae Young G De'Aaron Fox F Buddy Hield SG Terry Rozier PF Al-Farouq Aminu SF DeAndre' Bembry,,Miles Bridges,F,0.09%,16.75
99,1251615625,memphotiger,48,307.25,C Joel Embiid G Jrue Holiday PG De'Aaron Fox PF Danilo Gallinari SF Buddy Hield UTIL Trey Lyles F Evan Turner SG Patrick Beverley,,Harry Giles,UTIL,0.09%,9.75
99,1251385929,jadbear94,24,307.25,C Joel Embiid SF Taurean Prince UTIL Willie Cauley-Stein PG De'Aaron Fox G Buddy Hield PF Dewayne Dedmon SG Jeremy Lamb F Al-Farouq Aminu,,Hamidou Diallo,G,0.09%,8.5
104,1252178999,tortmeier,48,307,PG Russell Westbrook SG Jrue Holiday G De'Aaron Fox SF Buddy Hield F Nemanja Bjelica UTIL Marcus Morris PF Al-Farouq Aminu C Mason Plumlee,,Nerlens Noel,C,0.09%,10.5
105,1252157129,CUFive,0,306.75,UTIL Joel Embiid PG De'Aaron Fox PF Jayson Tatum SG Buddy Hield C Al Horford F Dario Saric SF Jeremy Lamb G Marcus Smart,,David Nwaba,F,0.04%,8
106,1251616665,Safeen.Merchant,72,306.5,C Joel Embiid PF Nikola Mirotic PG De'Aaron Fox SG Buddy Hield SF Nemanja Bjelica UTIL Lou Williams F Al-Farouq Aminu G Tim Frazier,,Devonte' Graham,G,0.04%,0
107,1251732050,Dinkpiece,48,306,SF Ben Simmons UTIL Nikola Mirotic PG De'Aaron Fox G Buddy Hield C Al Horford PF Robert Covington SG Jeremy Lamb F Al-Farouq Aminu,,Zach Randolph,PF,0.04%,0
107,1252009903,TheNumbersGuy81,48,306,G Ben Simmons UTIL Nikola Mirotic PG De'Aaron Fox SF Buddy Hield C Al Horford PF Robert Covington SG Jeremy Lamb F Al-Farouq Aminu,,Juancho Hernangómez,F,0.04%,35.5
109,1251970992,cpavlik,48,305.5,PG Russell Westbrook G De'Aaron Fox SG Buddy Hield PF Al Horford C Jusuf Nurkic SF Robert Covington UTIL Dario Saric F Al-Farouq Aminu,,Jake Layman,F,0.04%,13
110,1251666061,Phenom10,72,305.25,C Joel Embiid SF Ben Simmons PG De'Aaron Fox SG Buddy Hield F Robert Covington G E'Twaun Moore PF Al-Farouq Aminu UTIL Jahlil Okafor,,Isaiah Thomas,PG,0.04%,0
111,1252113349,Clafakis,24,304.75,SF Nikola Mirotic PG Trae Young G De'Aaron Fox PF Jayson Tatum SG Buddy Hield C Al Horford F Robert Covington UTIL Jeremy Lamb,,Alex Poythress,F,0.04%,19
112,1252178939,tomatobus,48,304.5,PG Russell Westbrook C Joel Embiid UTIL De'Aaron Fox SF Dario Saric PF Trey Lyles F E'Twaun Moore G Markelle Fultz SG Evan Turner,,Ian Clark,G,0.04%,8.25
113,1251982593,Mike10693,48,304.25,SF Giannis Antetokounmpo UTIL Nikola Mirotic PG De'Aaron Fox SG Buddy Hield PF Al Horford G Terry Rozier C Cody Zeller F Al-Farouq Aminu,,J.R. Smith,SG,0.04%,0
113,1251991000,Talapia69,48,304.25,SF Giannis Antetokounmpo UTIL Nikola Mirotic G De'Aaron Fox SG Buddy Hield PF Al Horford PG Terry Rozier C Cody Zeller F Al-Farouq Aminu,,Luc Richard Mbah a Moute,PF,0.04%,0
113,1252292358,drumm035,48,304.25,C Joel Embiid G Jrue Holiday PG De'Aaron Fox SG Buddy Hield F Nemanja Bjelica SF Cedi Osman PF Al-Farouq Aminu UTIL Mason Plumlee,,Tyler Davis,C,0.04%,0
