Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1237664744,joshkreider3965,27.16,264.5,PF Kevin Love C Karl-Anthony Towns SG Luka Doncic UTIL Clint Capela G Nicolas Batum SF Kent Bazemore F Justin Holiday PG Cameron Payne,,Kyle Kuzma,PF,58.13%,0
1,1237690278,calcguy,27.16,264.5,PF Kevin Love C Karl-Anthony Towns SG Luka Doncic UTIL Clint Capela G Nicolas Batum SF Kent Bazemore F Justin Holiday PG Cameron Payne,,Devin Booker,SG,47.85%,0
1,1237729165,NebRAMSka,27.16,264.5,PF Kevin Love C Karl-Anthony Towns SG Luka Doncic UTIL Clint Capela G Nicolas Batum SF Kent Bazemore F Justin Holiday PG Cameron Payne,,Jaren Jackson Jr.,C,43.72%,0
1,1237759714,mrussell1982,27.16,264.5,PF Kevin Love C Karl-Anthony Towns SG Luka Doncic UTIL Clint Capela G Nicolas Batum SF Kent Bazemore F Justin Holiday PG Cameron Payne,,Wendell Carter Jr.,C,40.89%,16.75
1,1237803860,Goatman332,27.16,264.5,PF Kevin Love C Karl-Anthony Towns SG Luka Doncic UTIL Clint Capela G Nicolas Batum SF Kent Bazemore F Justin Holiday PG Cameron Payne,,Cedi Osman,SF,39.31%,16.5
1,1237805508,JoshDoskocil,27.16,264.5,PF Kevin Love C Karl-Anthony Towns SG Luka Doncic UTIL Clint Capela G Nicolas Batum SF Kent Bazemore F Justin Holiday PG Cameron Payne,,Trae Young,PG,38.66%,29.5
1,1237805618,cgla10,27.16,264.5,PF Kevin Love C Karl-Anthony Towns SG Luka Doncic UTIL Clint Capela G Nicolas Batum SF Kent Bazemore F Justin Holiday PG Cameron Payne,,Josh Hart,G,36.05%,0
1,1237877998,nate2442,27.16,264.5,PF Kevin Love C Karl-Anthony Towns SG Luka Doncic UTIL Clint Capela G Nicolas Batum SF Kent Bazemore F Justin Holiday PG Cameron Payne,,Deandre Ayton,UTIL,34.42%,0
1,1237901944,Ahansell14,27.16,264.5,PF Kevin Love C Karl-Anthony Towns G Luka Doncic UTIL Clint Capela SG Nicolas Batum F Kent Bazemore SF Justin Holiday PG Cameron Payne,,Kevin Love,C,27.35%,34.75
1,1237911913,packmanmatt,27.16,264.5,PF Kevin Love C Karl-Anthony Towns SG Luka Doncic UTIL Clint Capela G Nicolas Batum SF Kent Bazemore F Justin Holiday PG Cameron Payne,,Marvin Bagley III,F,25.77%,0
1,1237930308,milkmandad,27.16,264.5,PF Kevin Love C Karl-Anthony Towns SG Luka Doncic UTIL Clint Capela G Nicolas Batum SF Kent Bazemore F Justin Holiday PG Cameron Payne,,Luka Doncic,F,24.31%,38.75
1,1237949425,TannerManner13,27.16,264.5,PF Kevin Love C Karl-Anthony Towns SG Luka Doncic UTIL Clint Capela G Nicolas Batum SF Kent Bazemore F Justin Holiday PG Cameron Payne,,Zach LaVine,SG,24.25%,34.25
1,1237965408,Apuck55,27.16,264.5,PF Kevin Love C Karl-Anthony Towns SG Luka Doncic UTIL Clint Capela F Nicolas Batum SF Kent Bazemore G Justin Holiday PG Cameron Payne,,Josh Okogie,G,23.38%,27
1,1237982654,71bullets,27.16,264.5,PF Kevin Love C Karl-Anthony Towns SG Luka Doncic UTIL Clint Capela G Nicolas Batum SF Kent Bazemore F Justin Holiday PG Cameron Payne,,Nicolas Batum,F,19.20%,25.5
1,1238046947,GuitarHero27,27.16,264.5,PF Kevin Love C Karl-Anthony Towns SG Luka Doncic UTIL Clint Capela G Nicolas Batum SF Kent Bazemore F Justin Holiday PG Cameron Payne,,JaVale McGee,C,17.24%,0
1,1238080963,amendoza7,27.16,264.5,PF Kevin Love C Karl-Anthony Towns SG Luka Doncic UTIL Clint Capela G Nicolas Batum SF Kent Bazemore F Justin Holiday PG Cameron Payne,,Kemba Walker,UTIL,14.79%,27.5
1,1238129687,COGolfer25,27.16,264.5,PF Kevin Love C Karl-Anthony Towns SG Luka Doncic UTIL Clint Capela G Nicolas Batum SF Kent Bazemore F Justin Holiday PG Cameron Payne,,LeBron James,UTIL,14.68%,0
