Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Al-Farouq Aminu (11540056),Al-Farouq Aminu,11540056,SF/PF/F/UTIL,4500,POR@HOU 10/30/2018 08:00PM ET,POR,22.58
SF/PF,Justise Winslow (11540072),Justise Winslow,11540072,SF/PF/F/UTIL,4400,MIA@CHA 10/30/2018 07:00PM ET,MIA,21.75
SF/PF,Jeff Green (11540068),Jeff Green,11540068,SF/PF/F/UTIL,4400,WAS@MEM 10/30/2018 08:00PM ET,WAS,22
PG,Ish Smith (11540080),Ish Smith,11540080,PG/G/UTIL,4400,DET@BOS 10/30/2018 07:30PM ET,DET,21.6
PG/SG,Patrick Beverley (11540076),Patrick Beverley,11540076,PG/SG/G/UTIL,4400,LAC@OKC 10/30/2018 08:00PM ET,LAC,20.5
SF/PF,Marvin Williams (11540089),Marvin Williams,11540089,SF/PF/F/UTIL,4300,MIA@CHA 10/30/2018 07:00PM ET,CHA,20.46
PG,D.J. Augustin (11540093),D.J. Augustin,11540093,PG/G/UTIL,4300,SAC@ORL 10/30/2018 07:00PM ET,ORL,19.33
SF/PF,Kyle Anderson (11540096),Kyle Anderson,11540096,SF/PF/F/UTIL,4300,WAS@MEM 10/30/2018 08:00PM ET,MEM,14.5
PG/SG,Fred VanVleet (11540085),Fred VanVleet,11540085,PG/SG/G/UTIL,4300,PHI@TOR 10/30/2018 07:30PM ET,TOR,23.5
C,Nerlens Noel (11540083),Nerlens Noel,11540083,C/UTIL,4300,LAC@OKC 10/30/2018 08:00PM ET,OKC,23.5
PG/SG,Marcus Smart (11540100),Marcus Smart,11540100,PG/SG/G/UTIL,4200,DET@BOS 10/30/2018 07:30PM ET,BOS,17.04
SF/PF,Jerami Grant (11540104),Jerami Grant,11540104,SF/PF/F/UTIL,4200,LAC@OKC 10/30/2018 08:00PM ET,OKC,20.65
SF,DeAndre' Bembry (11540116),DeAndre' Bembry,11540116,SF/F/UTIL,4100,ATL@CLE 10/30/2018 07:00PM ET,ATL,23.67
C,Cody Zeller (11540119),Cody Zeller,11540119,C/UTIL,4100,MIA@CHA 10/30/2018 07:00PM ET,CHA,20.71
SG/SF,Terrence Ross (11540111),Terrence Ross,11540111,SG/SF/F/G/UTIL,4100,SAC@ORL 10/30/2018 07:00PM ET,ORL,20.88
SG/SF,Reggie Bullock (11540125),Reggie Bullock,11540125,SG/SF/F/G/UTIL,4100,DET@BOS 10/30/2018 07:30PM ET,DET,19.94
PG/SG,Markelle Fultz (11540121),Markelle Fultz,11540121,PG/SG/G/UTIL,4100,PHI@TOR 10/30/2018 07:30PM ET,PHI,22.54
PG,Shai Gilgeous-Alexander (11540108),Shai Gilgeous-Alexander,11540108,PG/G/UTIL,4100,LAC@OKC 10/30/2018 08:00PM ET,LAC,21.62
PG,Collin Sexton (11540130),Collin Sexton,11540130,PG/G/UTIL,4000,ATL@CLE 10/30/2018 07:00PM ET,CLE,16.79
SG,Malik Monk (11540146),Malik Monk,11540146,SG/G/UTIL,4000,MIA@CHA 10/30/2018 07:00PM ET,CHA,19.5
C,Mohamed Bamba (11540149),Mohamed Bamba,11540149,C/UTIL,4000,SAC@ORL 10/30/2018 07:00PM ET,ORL,17.12
SG/SF,Garrett Temple (11540136),Garrett Temple,11540136,SG/SF/F/G/UTIL,4000,WAS@MEM 10/30/2018 08:00PM ET,MEM,23.05
PF,Zach Collins (11540133),Zach Collins,11540133,PF/F/UTIL,4000,POR@HOU 10/30/2018 08:00PM ET,POR,24.54
SG/SF,James Ennis III (11540141),James Ennis III,11540141,SG/SF/F/G/UTIL,4000,POR@HOU 10/30/2018 08:00PM ET,HOU,14.58
SF/PF,Stanley Johnson (11540159),Stanley Johnson,11540159,SF/PF/F/UTIL,3900,DET@BOS 10/30/2018 07:30PM ET,DET,16.31
PF,Pascal Siakam (11540163),Pascal Siakam,11540163,PF/F/UTIL,3900,PHI@TOR 10/30/2018 07:30PM ET,TOR,24.11
SF/PF,Wilson Chandler (11540166),Wilson Chandler,11540166,SF/PF/F/UTIL,3900,PHI@TOR 10/30/2018 07:30PM ET,PHI,0
SG/SF,Gerald Green (11540151),Gerald Green,11540151,SG/SF/F/G/UTIL,3900,POR@HOU 10/30/2018 08:00PM ET,HOU,15.7
SG/SF,Evan Turner (11540170),Evan Turner,11540170,SG/SF/F/G/UTIL,3900,POR@HOU 10/30/2018 08:00PM ET,POR,24.58
SG,Avery Bradley (11540156),Avery Bradley,11540156,SG/G/UTIL,3900,LAC@OKC 10/30/2018 08:00PM ET,LAC,14.54
C,Bam Adebayo (11540190),Bam Adebayo,11540190,C/UTIL,3800,MIA@CHA 10/30/2018 07:00PM ET,MIA,18.17
SF,Justin Jackson (11540180),Justin Jackson,11540180,SF/F/UTIL,3800,SAC@ORL 10/30/2018 07:00PM ET,SAC,18.79
SG/SF,Jonathon Simmons (11540183),Jonathon Simmons,11540183,SG/SF/F/G/UTIL,3800,SAC@ORL 10/30/2018 07:00PM ET,ORL,16.4
SG,Dillon Brooks (11540175),Dillon Brooks,11540175,SG/G/UTIL,3800,WAS@MEM 10/30/2018 08:00PM ET,MEM,9.45
C,Aron Baynes (11540188),Aron Baynes,11540188,C/UTIL,3800,DET@BOS 10/30/2018 07:30PM ET,BOS,16.25
C,Marcin Gortat (11540178),Marcin Gortat,11540178,C/UTIL,3800,LAC@OKC 10/30/2018 08:00PM ET,LAC,15.33
SF/PF,Sam Dekker (11540192),Sam Dekker,11540192,SF/PF/F/UTIL,3700,ATL@CLE 10/30/2018 07:00PM ET,CLE,12.5
SF/PF,Michael Kidd-Gilchrist (11540205),Michael Kidd-Gilchrist,11540205,SF/PF/F/UTIL,3700,MIA@CHA 10/30/2018 07:00PM ET,CHA,22.25
