Tre'Quan Smith,WR,3700,0.024399999999999998,7.4,2.0
Marlon Mack,RB,4400,0.0242,34.9,7.931818181818181
Alex Collins,FLEX,4800,0.024,7.8,1.625
Chris Hogan,WR,3800,0.0239,12.3,3.2368421052631584
Damion Ratley,WR,3600,0.0236,5.3,1.472222222222222
Blake Bortles,QB,5200,0.0236,3.44,0.6615384615384615
Redskins ,DST,2900,0.0223,15.0,5.172413793103448
Matt Breida,RB,5300,0.021400000000000002,0.5,0.09433962264150944
Dwayne Allen,TE,2600,0.0206,0.0,0
Cameron Brate,TE,3100,0.0204,4.3,1.3870967741935483
Dede Westbrook,WR,4800,0.0194,5.7,1.1875
Jordan Howard,RB,5500,0.0187,11.8,2.1454545454545455
Panthers ,DST,2200,0.0187,7.0,3.1818181818181817
Buccaneers ,DST,2300,0.0181,7.0,3.0434782608695654
Josh Reynolds,FLEX,3500,0.0175,2.9,0.8285714285714285
Patriots ,DST,2400,0.0173,19.0,7.916666666666667
Will Fuller V,WR,5500,0.0167,12.8,2.3272727272727276
Derek Anderson,QB,4300,0.0158,3.0,0.6976744186046512
Kelvin Benjamin,WR,3500,0.0149,11.1,3.1714285714285713
Kenny Stills,WR,4400,0.0143,7.5,1.7045454545454544
Saints ,DST,2200,0.0139,1.0,0.45454545454545453
Benjamin Watson,TE,3000,0.0138,16.3,5.433333333333334
Charles Clay,TE,2800,0.0137,3.4,1.2142857142857144
Deshaun Watson,QB,5500,0.013500000000000002,10.86,1.9745454545454544
Sam Darnold,QB,4900,0.0132,16.04,3.2734693877551018
Carlos Hyde,RB,4700,0.0132,0.0,0
Nick O'Leary,FLEX,2600,0.0131,4.3,1.6538461538461537
Wendell Smallwood,RB,4100,0.0127,5.7,1.3902439024390245
Geoff Swaim,TE,2900,0.0123,5.5,1.896551724137931
Keelan Cole,FLEX,4600,0.012,4.1,0.8913043478260869
Vernon Davis,TE,3200,0.011000000000000001,0.0,0
Maurice Harris,FLEX,3000,0.0106,5.2,1.7333333333333334
Cameron Meredith,FLEX,3800,0.0103,0.0,0
Allen Robinson II,WR,6100,0.0097,1.4,0.22950819672131148
Nyheim Hines,RB,4300,0.0096,5.2,1.2093023255813955
Dak Prescott,QB,5300,0.009399999999999999,22.22,4.192452830188679
Anthony Miller,WR,3400,0.0088,5.5,1.6176470588235294
D.J. Moore,WR,3900,0.0076,5.9,1.512820512820513
Javorius Allen,RB,4500,0.006999999999999999,5.4,1.2000000000000002
Josh Doctson,WR,3600,0.006999999999999999,7.2,2.0
Bilal Powell,FLEX,4200,0.0068000000000000005,3.5,0.8333333333333333
Danny Amendola,FLEX,3900,0.0066,20.4,5.230769230769231
Alex Smith,QB,5100,0.0066,12.72,2.494117647058824
Donte Moncrief,WR,4100,0.0060999999999999995,14.6,3.5609756097560976
Isaiah Crowell,RB,4400,0.005600000000000001,6.0,1.3636363636363635
49ers ,DST,2000,0.005600000000000001,-2.0,0
Lamar Miller,FLEX,4200,0.0053,19.9,4.738095238095237
Laquon Treadwell,WR,3500,0.0049,4.1,1.1714285714285713
Torrey Smith,WR,3600,0.0048,10.1,2.8055555555555554
Zay Jones,WR,3700,0.0048,5.7,1.5405405405405406
Gerald Everett,TE,2700,0.0048,0.5,0.18518518518518517
Rob Gronkowski,FLEX,6000,0.0048,0.0,0
Chris Herndon,TE,2600,0.0046,14.2,5.461538461538461
LeGarrette Blount,FLEX,3700,0.0043,11.0,2.972972972972973
Adam Humphries,WR,3500,0.0043,7.7,2.2
Kapri Bibbs,FLEX,3100,0.004,15.6,5.032258064516129
David Grinnage,TE,2500,0.0039000000000000003,3.7,1.48
Dallas Goedert,TE,2600,0.0034000000000000002,14.3,5.5
Cordarrelle Patterson,FLEX,3300,0.0029,5.4,1.6363636363636365
Jakeem Grant,WR,3500,0.0028000000000000004,5.2,1.4857142857142858
Phillip Dorsett,WR,3700,0.0027,1.8,0.48648648648648646
Tyler Higbee,TE,2700,0.0025,0.0,0
Breshad Perriman,WR,3000,0.0025,1.6,0.5333333333333333
Jordan Matthews,WR,3300,0.0024,0.0,0
Raheem Mostert,RB,3300,0.0022,11.8,3.575757575757576
Josh Hill,TE,2600,0.0021,0.0,0
Mark Andrews,TE,2600,0.0018,7.8,3.0
Michael Gallup,WR,3500,0.0015,17.1,4.885714285714286
Zach Pascal,WR,3600,0.0013,0.0,0
Pierre Garcon,WR,4500,0.0013,1.5,0.3333333333333333
Ryan Fitzpatrick,QB,4800,0.0011,0.0,0
Hayden Hurst,TE,2600,0.0011,0.0,0
Chris Thompson,RB,5800,0.0011,0.0,0
Aldrick Robinson,FLEX,3100,0.001,10.4,3.3548387096774195
Dalvin Cook,RB,5700,0.0009,0.0,0
