Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,Bogdan Bogdanovic (11557061) (LOCKED),Bogdan Bogdanovic,11557061,SG/SF/F/G/UTIL,4900,Final,SAC,0
SF/PF,Dario Saric (11557052) (LOCKED),Dario Saric,11557052,SF/PF/F/UTIL,4900,Final,PHI,24.69
PF/C,Tristan Thompson (11557066) (LOCKED),Tristan Thompson,11557066,PF/C/F/UTIL,4800,Final,CLE,23.75
SG/SF,Gordon Hayward (11557056) (LOCKED),Gordon Hayward,11557056,SG/SF/F/G/UTIL,4800,Final,BOS,21.58
PG/SG,George Hill (11557078) (LOCKED),George Hill,11557078,PG/SG/G/UTIL,4700,Final,CLE,20.61
PF/C,Ersan Ilyasova (11557070) (LOCKED),Ersan Ilyasova,11557070,PF/C/F/UTIL,4700,Final,MIL,23
SF/PF,Sam Dekker (11557086) (LOCKED),Sam Dekker,11557086,SF/PF/F/UTIL,4600,Final,CLE,16.46
PG,Collin Sexton (11557098) (LOCKED),Collin Sexton,11557098,PG/G/UTIL,4600,Final,CLE,19.04
SF/PF,Trey Lyles (11557082) (LOCKED),Trey Lyles,11557082,SF/PF/F/UTIL,4500,Final,DEN,20.29
PG/SG,Malcolm Brogdon (11557090) (LOCKED),Malcolm Brogdon,11557090,PG/SG/G/UTIL,4500,Final,MIL,24.39
PF/C,Dewayne Dedmon (11557074) (LOCKED),Dewayne Dedmon,11557074,PF/C/F/UTIL,4500,Final,ATL,22.44
PG/SG,Jordan Clarkson (11557094) (LOCKED),Jordan Clarkson,11557094,PG/SG/G/UTIL,4400,Final,CLE,22.46
SG/SF,Jeremy Lamb (11557101) (LOCKED),Jeremy Lamb,11557101,SG/SF/F/G/UTIL,4400,Final,CHA,21.66
SG/SF,E'Twaun Moore (11557110) (LOCKED),E'Twaun Moore,11557110,SG/SF/F/G/UTIL,4300,In Progress,NO,23.39
